CodeDescription,UnitSize,PackSize,Qty,UnitPrice,LinePrice,V.A.T,Barcode,IndividualPrice,Cost,ProductCode,Description
263913 - DAZ POWDER REG 90W,5.85KG,1,3,7.89,23.67,1,8001090396532,7.89,7.89,DAZ POWDER REG 90W,263913 
735095 - DISH CLOTHS COTTON 10PK,PRE154,12,2,6.96,13.92,1,5050895061476,0.58,0.58,DISH CLOTHS COTTON 10PK,735095 
783995 - DISH CLOTHS PREMIUM LARGE 5PK,PRE116,12,2,6.96,13.92,1,5050895080699,0.58,0.58,DISH CLOTHS PREMIUM LARGE 5PK,783995 
263450 - DOFF ANT KILLER POWDER,240G,12,2,7.39,14.78,1,5013655012231,0.615833333,0.62,DOFF ANT KILLER POWDER,263450 
186090 - DOFF SLUG KILLER MINI PELLETS LRG,840G,9,2,11.48,22.96,1,5013655000627,1.275555556,1.28,DOFF SLUG KILLER MINI PELLETS LRG,186090 
679673 - DOVE SOAP BAR REGULAR 2PK,100GM,24,1,14.40,14.40,1,000700000012,0.6,0.60,DOVE SOAP BAR REGULAR 2PK,679673 
235574 - DR BECKMANN COLOUR & DIRT COLLECTOR,10'S,12,2,7.29,14.58,1,5010287475250,0.6075,0.61,DR BECKMANN COLOUR & DIRT COLLECTOR,235574 
984791 - DR BECKMANN SPRAY STARCH,400ML,6,2,4.19,8.38,1,5010287476509,0.698333333,0.70,DR BECKMANN SPRAY STARCH,984791 
046743 - DR JOHNSON STERILISE FLUID,LTR,12,3,6.59,19.77,1,5025416330034,0.549166667,0.55,DR JOHNSON STERILISE FLUID,046743 
835514 - DRI PAK BICARB SODA,500GM,6,3,4.15,12.45,1,5011289001775,0.691666667,0.70,DRI PAK BICARB SODA,835514 
835522 - DRI PAK BORAX SUBSTITUTE CLEAN,500GM,6,3,4.15,12.45,1,5011289002116,0.691666667,0.70,DRI PAK BORAX SUBSTITUTE CLEAN,835522 
213885 - DRI PAK WASH SODA CRYSTALS,1KG,6,8,3.29,26.32,1,5011289000297,0.548333333,0.55,DRI PAK WASH SODA CRYSTALS,213885 
138356 - EASY W/UP LIQUID LEMON,550ML,12,2,4.49,8.98,1,5000185111565,0.374166667,0.38,EASY W/UP LIQUID LEMON,138356 
138348 - EASY W/UP LIQUID ORIGINAL,550ML,12,1,4.49,4.49,1,5000185111589,0.374166667,0.38,EASY W/UP LIQUID ORIGINAL,138348 
282244 - ESSENTIAL CAUSTIC SODA POWDER,375G,6,6,4.09,24.54,1,5011962550132,0.681666667,0.69,ESSENTIAL CAUSTIC SODA POWDER,282244 
179011 - ESSENTIAL DISINFECTANT ANTISEPTIC +100%FREE,500ML,6,4,2.99,11.96,1,5011962114181,0.498333333,0.50,ESSENTIAL DISINFECTANT ANTISEPTIC +100%FREE,179011 
958655 - ESSENTIAL POWER AMMONIA,500ML,6,6,2.99,17.94,1,5011962141309,0.498333333,0.50,ESSENTIAL POWER AMMONIA,958655 
150615 - ESSENTIAL WASH MACHINE CLEAN,500G,6,2,3.29,6.58,1,5011962114617,0.548333333,0.55,ESSENTIAL WASH MACHINE CLEAN,150615 
043140 - FACE CLOTH ASST COLS(R),,12,2,3.96,7.92,1,5023674117060,0.33,0.33,FACE CLOTH ASST COLS(R),043140 
