"id","stocktake_id","product_id","stock_location_shelf_id","stocktake_product_qty","seasonal_storage_box_id","stocktake_product_date_created","stocktake_product_date_modified"
88,1,129,NULL,5,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
89,1,130,NULL,14,6,"2015-01-01 12:00:00","0000-00-00 00:00:00"
90,1,131,NULL,23,6,"2015-01-01 12:00:00","0000-00-00 00:00:00"
91,1,132,NULL,9,6,"2015-01-01 12:00:00","0000-00-00 00:00:00"
92,1,133,NULL,11,6,"2015-01-01 12:00:00","0000-00-00 00:00:00"
93,1,134,NULL,3,6,"2015-01-01 12:00:00","0000-00-00 00:00:00"
94,1,135,NULL,17,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
95,1,136,NULL,8,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
96,1,137,NULL,6,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
97,1,138,NULL,8,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
98,1,139,NULL,8,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
99,1,140,NULL,8,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
100,1,141,NULL,7,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
101,1,142,NULL,14,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
102,1,143,NULL,43,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
103,1,144,NULL,10,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
104,1,6,NULL,35,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
105,1,8,NULL,5,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
106,1,145,NULL,39,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
107,1,146,NULL,11,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
108,1,11,NULL,31,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
109,1,31,NULL,32,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
110,1,5,NULL,11,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
111,1,147,NULL,25,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
112,1,148,NULL,18,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
113,1,10,NULL,10,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
114,1,149,NULL,21,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
116,1,24,NULL,4,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
117,1,96,NULL,4,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
118,1,97,NULL,4,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
119,1,107,NULL,4,8,"2015-01-01 12:00:00","0000-00-00 00:00:00"
120,1,33,NULL,11,9,"2015-01-01 12:00:00","0000-00-00 00:00:00"
121,1,150,NULL,3,9,"2015-01-01 12:00:00","0000-00-00 00:00:00"
122,1,151,NULL,1,9,"2015-01-01 12:00:00","0000-00-00 00:00:00"
123,1,152,NULL,1,9,"2015-01-01 12:00:00","0000-00-00 00:00:00"
124,1,153,NULL,10,9,"2015-01-01 12:00:00","0000-00-00 00:00:00"
132,1,166,NULL,7,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
133,1,167,NULL,14,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
134,1,168,NULL,5,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
135,1,169,NULL,3,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
136,1,170,NULL,4,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
137,1,171,NULL,7,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
138,1,134,NULL,5,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
139,1,172,NULL,1,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
140,1,173,NULL,2,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
141,1,174,NULL,64,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
142,1,175,NULL,29,39,"2015-01-01 12:00:00","0000-00-00 00:00:00"
143,1,176,NULL,8,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
144,1,5,NULL,15,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
145,1,177,NULL,15,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
146,1,178,NULL,6,41,"2015-01-01 12:00:00","0000-00-00 00:00:00"
147,1,179,NULL,6,41,"2015-01-01 12:00:00","0000-00-00 00:00:00"
148,1,179,NULL,9,42,"2015-01-01 12:00:00","0000-00-00 00:00:00"
149,1,180,NULL,3,42,"2015-01-01 12:00:00","0000-00-00 00:00:00"
150,1,181,NULL,7,43,"2015-01-01 12:00:00","0000-00-00 00:00:00"
151,1,182,NULL,4,43,"2015-01-01 12:00:00","0000-00-00 00:00:00"
152,1,183,NULL,5,43,"2015-01-01 12:00:00","0000-00-00 00:00:00"
153,1,184,NULL,7,43,"2015-01-01 12:00:00","0000-00-00 00:00:00"
154,1,173,NULL,5,43,"2015-01-01 12:00:00","0000-00-00 00:00:00"
155,1,185,NULL,2,43,"2015-01-01 12:00:00","0000-00-00 00:00:00"
156,1,186,NULL,4,43,"2015-01-01 12:00:00","0000-00-00 00:00:00"
157,1,187,NULL,2,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
158,1,188,NULL,2,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
159,1,46,NULL,3,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
160,1,36,NULL,6,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
161,1,35,NULL,5,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
162,1,38,NULL,11,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
163,1,189,NULL,3,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
164,1,190,NULL,1,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
165,1,191,NULL,3,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
166,1,37,NULL,5,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
167,1,192,NULL,6,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
168,1,193,NULL,6,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
169,1,194,NULL,2,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
170,1,195,NULL,1,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
171,1,196,NULL,2,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
172,1,153,NULL,1,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
173,1,152,NULL,1,44,"2015-01-01 12:00:00","0000-00-00 00:00:00"
174,1,197,NULL,8,38,"2015-01-01 12:00:00","0000-00-00 00:00:00"
175,1,198,NULL,5,38,"2015-01-01 12:00:00","0000-00-00 00:00:00"
176,1,199,NULL,27,38,"2015-01-01 12:00:00","0000-00-00 00:00:00"
177,1,186,NULL,2,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
178,1,200,NULL,1,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
179,1,201,NULL,1,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
180,1,202,NULL,1,7,"2015-01-01 12:00:00","0000-00-00 00:00:00"
181,1,203,NULL,3,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
182,1,204,NULL,10,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
