DESCRIPTION,CODE,UNIT,PACK,RRP,CASECOST£,Cost,EANCode,OUTERBARCODE,PALLET,LAYER,Name
NEUT. DUSTBIN ODOUR DESTROYER      ,192550,350g  ,6,1.00,3.89,0.65,5013912907409 ,05013912907522 ,204,34,NEUT. DUSTBIN ODOUR DESTROYER - 350g  
NEUTRADOL CARPET SUPER FRESH       ,701608,350GM ,12,1.00,7.45,0.62,5013912900110 ,05013912900134 ,133,19,NEUTRADOL CARPET SUPER FRESH - 350GM 
NEUTRADOL CRPET ORIG+50G           ,752198,400GM ,12,0.99,7.35,0.61,5013912908277 ,05013912908338 ,133,19,NEUTRADOL CRPET ORIG+50G - 400GM 
NEUTRADOL CRPET S/FRSH+50G         ,752205,400GM ,12,0.99,7.35,0.61,5013912908284 ,05013912908345 ,133,19,NEUTRADOL CRPET S/FRSH+50G - 400GM 
NICKY SOFT FAMILY TISSUES          ,174061,124s  ,15,0.69,6.49,0.43,8004260422307 ,08004260519854 ,39,13,NICKY SOFT FAMILY TISSUES - 124s  
NICKY TALENT KITCHEN TOWEL         ,537611,4PK   ,6,1.00,3.95,0.66,8004260481137 ,08004260981132 ,25,5,NICKY TALENT KITCHEN TOWEL - 4PK   
NIVEA TALC                         ,031671,300GM ,6,1.19,4.69,0.78,5000336016350 ,05025970100647 ,240,40,NIVEA TALC - 300GM 
OPAL GRANULAR SALTS                ,873639,2KG   ,6,1.00,4.19,0.70,5010655002316 ,05010655030074 ,84,12,OPAL GRANULAR SALTS - 2KG   
OUST ALL PURPOSE DESCALER          ,934241,250ml ,6,1.79,6.99,1.17,5000325030527 ,05000325030534 ,228,38,OUST ALL PURPOSE DESCALER - 250ml 
OUST ALL PURPOSE DESCALER          ,091661,3SACH ,6,1.39,5.49,0.92,5000325018990 ,05000325022102 ,275,55,OUST ALL PURPOSE DESCALER - 3SACH 
