CODE,DESCRIPTION,QTY,Price,BARCODES,Discount%,DiscountVal,PricePaid,SuggestedRetail,Weight,Length,Width,Height,ActualPrice,Ready?
G3513,The Good Life 500XXL,,6.2,5012269035131,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G3514,Exotic Friends 500XXL,,6.2,5012269035148,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G3515,Spoilt for Choice 500XXL,,6.2,5012269035155,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G3516,The Flicks 500XXL,,6.2,5012269035162,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G3517,Picnic on the Green 500XXL,,6.2,5012269035179,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G3520,HOMEWARD BOUND 500XL PUZZLE,2,6.2,5012269035209,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G469,I Love Great Britain 1000pc,,6.2,5012269004694,15.00%,0.93,5.27,10.54,930,415,295,55,10.99,OK
G476,PADSTOW HARBOUR,2,6.2,5012269004762,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G509,I Love Car Boot Sales 1000pc,,6.2,5012269005097,15.00%,0.93,5.27,10.54,930,415,295,55,10.99,OK
G514,I LOVE PETS - JIGSAW EX,2,6.2,5012269005141,15.00%,0.93,5.27,10.54,930,415,295,55,10.99,OK
G576,I Love the Country 1000pc,,6.2,5012269005769,15.00%,0.93,5.27,10.54,930,415,295,55,10.99,OK
G579,I Love London  1000pc,,6.2,5012269005790,15.00%,0.93,5.27,10.54,930,415,295,55,10.99,OK
G591,I Love Boats 1000pc,,6.2,5012269005912,15.00%,0.93,5.27,10.54,930,415,295,55,10.99,OK
G604,WATERLOO STATION JIGSAW,2,6.2,5012269006049,15.00%,0.93,5.27,10.54,930,415,295,55,10.99,OK
G6058,TOBERMORY 1000 PCE PUZZLE,2,6.2,5012269060584,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6061,Grandad's Workshop 1000pc,,6.2,5012269060614,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6064,The Village Shop 1000pc,,6.2,5012269060645,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6070,Castle Combe 1000pc,,6.2,5012269060706,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6072,Bourton on the Water 1000pc,,6.2,5012269060720,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6086,MEADOW FARM 1000 PCE JIGSAW,2,6.2,5012269060867,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6089,Queensferry Harbour 1000pc,,6.2,5012269060898,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6090,Scarborough 1000pc,,6.2,5012269060904,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6092,After the Rain 1000pc,,6.2,5012269060928,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6104,Cadgwith Cove 1000pc,,6.2,5012269061048,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6108,A Lost Stitch 1000pc,,6.2,5012269061086,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6113,The Market Stall 1000pc,,6.2,5012269061130,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6127,Mousehole 1000pc,,6.2,5012269061277,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6136,Awaiting Departure 1000pc,,6.2,5012269061369,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6137,Tender Loving Care 1000pc,,6.2,5012269061376,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6138,A Special Treat 1000pc,,6.2,5012269061383,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6141,An Evening in Paris 1000pc,,6.2,5012269061413,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6143,Hop Country 1000pc,,6.2,5012269061437,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6144,FARMYARD FRIENDS 1000PC PUZZLE,2,6.2,5012269061444,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6147,Puss In Books 1000pc,,6.2,5012269061475,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6149,Bath Time 1000pc,,6.2,5012269061499,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6150,Life in the Slow Lane 1000pc,,6.2,5012269061505,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6151,Summer Saturday at Snow Hill 1000pc,,6.2,5012269061512,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6152,Salcombe Harbour 1000pc,,6.2,5012269061529,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
G6153,An Apple a Day 1000pc,,6.2,5012269061536,15.00%,0.93,5.27,10.54,850,300,300,50,10.99,OK
