PRODUCT,INNER,OUTER,DESCRIPTION,CARTONS ORDERED,PCS ORDERED,BARCODE,PIECEPRICE,TOTAL PRICE,STOCK STATUS
CR0770,12,72,4X2.5CM PK70 WHITE TAGS,1,72,5024418873877,0.50,36.00,15/10/2015
ST5040A,12,72,18 LUGGAGE TAGS /58 WHITE TAGS,1,72,5024418505419,0.50,36.00,15/08/2015
ST1712,6,72,PAPER CUT.RULER,1,72,5024418107958,1.00,72.00,Picked
ST7073,12,48,16PC HOBBY KNIFE SET,1,48,5024418630579,1.15,55.20,Picked
ST7085,12,72,NATURAL CARD LUGGAGE TAG PAD,1,72,5024418652069,0.50,36.00,Picked
ST7141,12,72,WOODEN PENCIL CASE SET,1,72,5024418721178,0.50,36.00,Picked
CR0492,12,72,18X12 CRAFT BUTTON CANVAS SET,1,72,5024418734161,0.50,36.00,Picked
CR0699,12,72,9X8X0.3CM WOODEN EMBELLISHMENT,1,72,5024418848011,0.50,36.00,Picked
ST6440,12,72,WOODEN DIY CRAFT KEYRING 6 AST,1,72,5024418586067,0.25,18.00,Picked
ST4896,12,48,300X220MM CUTTING MAT,1,48,5024418397977,0.95,45.60,Picked
ST4897,12,36,450X300MM CUTTING MAT,1,36,5024418397953,1.75,63.00,TBC
CR0688,12,36,17X21X4CM CRAFT ACCESSORY BOX,1,36,5024418845041,1.85,66.60,Picked
CR0325,6,24,17CM CRAFT WOODEN DRWR UNIT,1,24,5024418715351,2.50,60.00,Picked
CR0588,12,72,6X4 CRAFTING PHOTO FRAME,1,72,5024418780953,0.50,36.00,Picked
ST6421,12,72,ASSORTED SML CRAFT BOXES 6ASTD,1,72,5024418582465,0.65,46.80,Picked
CR0687,12,60,13X22X4.5CM CRAFT TRAY,1,60,5024418845003,0.80,48.00,Picked
ST1830B,12,72,CRAFT SHAPED BOXES - 6 ASST,1,72,5024418411390,0.85,61.20,Picked
CR0346,12,72,20X12 PK2CRFT HANG DECO+PENS,1,72,5024418721123,0.50,36.00,Picked
ST1126,12,48,40X50CM CANVAS PANEL,1,48,5024418214304,1.10,52.80,Picked
ST6310,36,72,24X30CM COTTON PLAIN CANVAS,1,72,5024418552901,0.85,61.20,Picked
ST1160,12,96,20X26CM PLAIN CANVAS,1,96,5024418216629,0.70,67.20,Picked
ST0963A,12,72,ARTIST PALETTE,1,72,5024418188438,0.58,41.76,09/09/2015
