Line,Code,Description,SKU,OrderedUnit,Ordered,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
13,STNO,"STAT, STATIC NOTES",,24,1,0.52,12.48,0.0124,2.18,5012128473241,05024004777985,24,12,0.01,2.5
14,BOBF,B ORIGNAL- BOX FILE (2 DESGNS),,20,2,1.80,36.00,0.1642,12.72,0000000000000,05024004710661,10,0,0.16,7.2
15,BOLC,"B ORIG,LEVER ARCH FILE (2 DESGNS)",,10,1,1.10,11.00,0.0401,4.36,0000000000000,05024004710708,10,0,0.05,2.2
16,REFP,"STAT,FOUNTAIN PEN WITH 4 INK CART",,24,1,0.40,9.60,0.0102,1.04,5012128434556,05024004719329,24,12,0.00,1.92
17,REFL,"STAT,8 FINELINERS",,24,1,0.50,12.00,0.0046,1.50,5012128434617,05024004719428,24,12,0.00,2.4
18,BCC/1,"STAT,BOOK COVERING FILM (CDU)",,96,1,0.25,24.00,0.0217,4.28,5012128402333,05024004402337,96,48,0.02,4.8
19,STT/2,"STAT,5000 26/6 STAPLES",,40,1,0.30,12.00,0.0082,6.14,5012128579004,05024004579008,40,20,0.00,2.4
20,TDV/1,"STAT,TAPE DISPENSER",,96,4,0.60,57.60,0.1626,76.88,5012128052880,05024004052884,24,12,0.14,11.52
21,REMC,"STAT,100 NOTE CARDS",,24,1,0.45,10.80,0.0096,5.62,5012128434457,05024004719183,24,12,0.00,2.16
22,UGC/3,"STAT,4 CHUNKY JOTTERS, 40 SHEETS",,48,1,0.45,21.60,0.0149,8.84,5012128082764,05024004082768,48,24,0.01,4.32
23,NOTT,"STAT,A4 HARDBACK NOTEBOOK",,24,2,0.52,12.48,0.0185,9.20,5012128474378,05024004779828,12,0,0.01,2.5
24,BUXT/1,"STAT,FOOLSCAP BOX FILE (3 COLS)",,24,2,1.62,38.88,0.1782,14.84,5012128360442,05024004584040,12,0,0.16,7.78
25,XGQ/3,"STAT,A4 DISPLAY BOOK 40 POCKET (CDU)",,24,1,0.72,17.28,0.0406,6.32,5012128117213,05024004117217,24,12,0.03,3.46
26,AVAD/3,"STAT,15 A4 DIVIDERS",,24,1,0.42,10.08,0.0085,5.40,5012128321047,05024004492093,24,0,0.00,2.02
27,BEAX,"STAT, RASCALS 6 PENCILS ERASER TOPS",,24,1,0.52,12.48,0.0194,3.64,5012128462689,05024004760253,24,12,0.01,2.5
28,BEAR,"STAT, RASCALS 6 MINI NOTEPADS",,24,1,0.50,12.00,0.0061,3.32,5012128462948,05024004760772,24,12,0.00,2.4
29,BEAU,"STAT, RASCALS A5 SOFT COVER N&apos;B",,12,1,0.52,6.24,0.0053,2.78,5012128462658,05024004760192,12,0,0.00,1.25
30,REWM,"STAT,4 WHITE WINDOW MARKERS",,24,1,0.50,12.00,0.0083,1.70,5012128434549,05024004719305,24,12,0.00,2.4
31,WIMA,"STAT, 4 COLOURED WINDOW MARKERS",,24,1,0.52,12.48,0.0081,1.18,5012128471797,05024004775868,24,12,0.00,2.5
32,CFCF/2,"STAT,CORRECTION FLUID SET",,48,1,0.50,24.00,0.0237,3.56,5012128359965,05024004582541,48,24,0.02,4.8
33,STTT/2,"STAT,BLACK STAPLER IN PP BOX",,48,1,0.98,47.04,0.0220,13.32,5012128385001,05024004638125,48,24,0.02,9.41
34,DST/48/3,"STAT,DATE STAMP & INK PAD",,48,1,0.50,24.00,0.0287,3.80,5012128454905,05024004454909,48,24,0.03,4.8
35,WRK/4,"STAT, 700 SHEET JOTTER BLOCK",,24,2,0.50,12.00,0.0136,7.72,5012128087219,05024004087213,12,0,0.01,2.4
36,CMDL/3,"STAT,5 DL CARRY FOLDERS",,48,1,0.50,24.00,0.0225,4.28,5012128263910,05024004360668,48,24,0.03,4.8
37,CRFA,"STAT,6 A5 CARRY FOLDERS",,24,1,0.50,12.00,0.0179,2.20,5012128467400,05024004768143,24,0,0.01,2.4
38,LUG/1,"STAT, 30 LUGGAGE LABELS",,48,1,0.42,20.16,0.0274,3.70,5012128146664,05024004146668,48,0,0.03,4.03
39,BQV/2,"STAT,40M BINGO MARKER (CDU)",,48,1,0.25,12.00,0.0116,2.68,5012128064333,05024004064337,48,24,0.01,2.4
40,VTR/3,"STAT,18 LAMINATING POUCHES",,24,1,1.07,25.68,0.0154,7.34,5012128091018,05024004091012,24,12,0.01,5.14
41,SPEN/2,"ACT,5 STAMPER PENS",,24,2,0.50,12.00,0.0127,2.24,5012128344268,05024004548158,12,0,0.01,2.4
42,DPDN/2,"ACT,8 DOUBLE ENDED MARKERS",,24,1,0.50,12.00,0.0131,2.36,5012128369889,05024004605103,24,0,0.01,2.4
43,STMP,"ACT, PK 8 STAMPER PENS CDU",,24,2,0.50,12.00,0.0149,2.96,5012128447532,05024004737651,12,0,0.01,2.4
