Line,Code,Description,Ordered,OrderedOut,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
53,GRAB/4,BLOK MIXED STATIONERY SET,24,1,0.50,12.00,0.0130,2.00,5012128320453,05024004490457,24,12,0.01,2.4
54,FLPN/2,"STAT,4PK FLUFFY GEL PENS-NOVELTY",24,1,0.52,12.48,0.0103,1.42,5012128516870,05024004851852,24,12,0.00,2.5
55,MAPM,"STAT, 4 PK MAZE PENS-NOVELTY",24,1,0.52,12.48,0.0063,1.42,5012128485442,05024004799987,24,12,0.00,2.5
56,SWHH,"STAT,5PK NOVELTY HIGHLIGHTERS",24,1,0.52,12.48,0.0052,1.28,5012128485435,05024004799963,24,12,0.00,2.5
57,NVER,"STAT,8PK BUTTON ERASERS-NOVELTY",24,1,0.52,12.48,0.0066,1.96,5012128485466,05024004800027,24,12,0.00,2.5
58,RASS,"STAT,3PK RETRACTABLE PENS-RASCALS",24,1,0.55,13.20,0.0091,1.36,5012128486098,05024004801147,24,12,0.00,2.64
59,OWLL,"STAT,A4 CLIPBOARD-OWLS",24,1,0.54,12.96,0.0165,3.30,5012128486289,05024004801512,24,12,0.01,2.59
60,OWLS,"STAT,A5 DIECUT N'BOOK-OWLS,120",24,1,0.55,13.20,0.0097,3.90,5012128486456,05024004801710,24,12,0.00,2.64
61,OWLR,"STAT, TINNED PENCIL CASE - OWLS",24,1,0.55,13.20,0.0124,1.84,5012128486388,05024004801598,24,12,0.00,2.64
62,SPOZ,"STAT,RINGBINDER-SPOTS DESIGN X2",24,1,0.60,14.40,0.0311,6.16,5012128489273,05024004807262,24,0,0.03,2.88
63,SPOE/1,"STAT,2PK A5 NOTEBOOKS",24,1,0.55,13.20,0.0061,2.98,5012128486210,05024004801376,24,0,0.00,2.64
64,GEOR,"STAT,2PK 2IN1 STYLUS PEN-GEOMETRIC",24,1,0.45,10.80,0.0073,0.86,5012128486548,05024004801895,24,12,0.00,2.16
65,REFM/1,"STAT,8 FINELINERS-(BLACK/BLUE)",48,2,0.50,24.00,0.0093,3.12,5012128486777,05024004802359,24,12,0.00,4.8
66,REFL/1,"STAT, 8 FINELINERS",48,2,0.50,24.00,0.0096,3.00,5012128434617,05024004719428,24,12,0.00,4.8
67,REFP/1,"STAT,FOUNTAIN PEN WITH 4 INK CART",24,1,0.45,10.80,0.0099,1.02,5012128434556,05024004719329,24,12,0.00,2.16
68,FTCL/2,"STAT,10 COLOURING PENCILS & GRIP",48,1,0.52,24.96,0.0272,4.24,5012128384400,05024004636923,48,24,0.01,4.99
69,FTTR/3,"STAT,15 TRIANGLE COLOURING PENCILS",48,1,0.52,24.96,0.0249,5.60,5012128384394,05024004636909,48,24,0.02,4.99
70,BCC/2,"STAT,BOOK COVERING FILM (CDU)",96,1,0.25,24.00,0.0151,4.94,5012128402333,05024004402337,96,48,0.02,4.8
71,MEPE/1,"STAT,3 METALLIC MARKERS #",24,1,0.52,12.48,0.0108,1.04,5012128471780,05024004775844,24,12,0.01,2.5
72,BIND/4,"STAT,RINGBINDER (3 COL RED/BLUE/BLK)",24,1,0.52,12.48,0.0311,6.52,5012128320378,05024004490273,24,0,0.03,2.5
73,BUXT/3,"STAT,FOOLSCAP BOX BOX FILE(3CLRS)",24,2,2.15,51.60,0.1782,14.96,5012128360442,05024004584040,12,0,0.16,10.32
74,RAO/6,"STAT,LEVER ARCH(3LRS)",24,1,1.05,25.20,0.0774,10.62,5012128087417,05024004087411,24,0,0.08,5.04
75,EXGO/3,"STAT,BOX FILE, ELASTIC CORNERS",24,1,0.70,16.80,0.0655,3.84,5012128360435,05024004584026,24,0,0.06,3.36
76,EXPD,"STAT,13 POCKET EXPANDING FILE",24,1,1.60,38.40,0.0800,7.34,5012128501692,05024004826560,24,12,0.06,7.68
77,EXTP/3,"STAT,20 POCKET EXPANDING FILE",12,1,2.30,27.60,0.0725,5.74,5012128360428,05024004584002,12,0,0.08,5.52
78,XGSN,"STAT,PRESENTATION DISPLAY BK (30P)",24,1,1.20,28.80,0.0304,8.22,5012128486746,05024004802298,24,12,0.02,5.76
79,DOCC/6,"STAT,5 DOCUMENT WALLETS",48,1,0.49,23.52,0.0413,13.20,5012128270444,05024004373743,48,24,0.04,4.7
80,REE/7,"STAT,60 SHEET REFILL PAD",24,2,0.52,12.48,0.0114,6.56,5012128084287,05024004084281,12,0,0.01,2.5
81,REPL,"STAT,60SH PLAIN PAPER REFILL PAD",24,1,0.52,12.48,0.0108,6.08,5012128496554,05024004818732,24,12,0.00,2.5
82,REGP/1,"STAT, 60 SH SQUARE PAPER REFILL PAD",24,1,0.52,12.48,0.0106,6.66,5012128434426,05024004719121,24,12,0.00,2.5
83,REGR,"STAT,60SH GRAPH REFILL PAD",24,1,0.52,12.48,0.0108,6.08,5012128496516,05024004818718,24,12,0.00,2.5
84,AAIA/1,"STAT,60SH COMBINATION PAD",24,1,0.52,12.48,0.0111,6.92,5012128415913,05024004693667,24,12,0.00,2.5
85,WUQ/6,"STAT,2 A5 PLAIN WRITING PAD, 60 SH",24,2,0.52,12.48,0.0135,6.28,5012128087349,05024004087343,12,0,0.01,2.5
86,WUN/7,"STAT, 2 A5 RULES WRITING PAD 60 SH",24,2,0.52,12.48,0.0132,6.64,5012128087318,05024004087312,12,0,0.01,2.5
87,UGO/7,"STAT,A5 RULED NOTEPAD, 140 SHEET",20,1,0.52,10.40,0.0090,5.48,5012128082887,05024004082881,20,10,0.00,2.08
88,KKG/4,"STAT,COPIER PAPER 80 SHEETS",64,2,0.52,33.28,0.0464,23.88,5012128087370,05024004087374,32,0,0.04,6.66
89,RPNB/1,"STAT, 100 SHEET REPORTERS NOTEBOOK",24,1,0.46,11.04,0.0104,4.80,5012128440212,05024004727904,24,0,0.00,2.21
90,NQN/6,"STAT,2 LARGE NOTEBOOKS 30 SHT",24,1,0.50,12.00,0.0084,3.32,5012128146169,05024004146163,24,12,0.00,2.4
91,NQO/6,"STAT,3 MEDIUM NOTEBOOKS 30 SHTS",24,1,0.50,12.00,0.0077,3.24,5012128146152,05024004146156,24,12,0.00,2.4
92,NQP/6,"STAT,4 SMALL NOTEBOOKS 30 SHTS",24,1,0.50,12.00,0.0065,2.82,5012128146145,05024004146149,24,12,0.00,2.4
93,WRK/5,"STAT, 700 SHEET JOTTER BLOCK",24,2,0.50,12.00,0.0136,8.20,5012128087219,05024004087213,12,0,0.01,2.4
94,UGC/4,"STAT,4 CHUNKY JOTTERS, 40 SHEETS",48,1,0.46,22.08,0.0179,8.41,5012128082764,05024004082768,48,24,0.01,4.42
95,STNM/2,"STAT,10 MINI MEMO PADS 50 SHEET",24,1,0.48,11.52,0.0104,6.42,5012128370274,05024004605882,24,12,0.00,2.3
96,STKH/2,"STAT,5 MEDIUM MEMO PAD 50 SHEET",24,1,0.48,11.52,0.0102,6.56,5012128370281,05024004605905,24,0,0.00,2.3
97,PLOD/1,"STAT,POLICEMANS NOTEBOOK",24,1,0.52,12.48,0.0063,3.08,5012128472848,05024004777305,24,12,0.00,2.5
98,CLRP/1,"STAT,10 METALLIC COLOURING PENCILS",24,1,0.50,12.00,0.0051,1.70,5012128484650,05024004798423,24,12,0.00,2.4
99,CGLF,"STAT, A4 ADULT COLOURING BOOK CITIES",24,1,0.54,12.96,0.0112,6.48,5012128484704,05024004798522,24,0,0.00,2.59
100,CGLA,"STAT, A4 ADULT COLOURING BOOK ANIMAL",24,1,0.54,12.96,0.0112,6.46,5012128484681,05024004798485,24,0,0.00,2.59
101,CGKL,"STAT, ADULT COLOURING GIFT BOX SET",12,1,1.10,13.20,0.0267,4.60,5012128484537,05024004798201,12,6,0.02,2.64
102,CGKJ,"STAT, ADULT COLOURING FOLDOUT BOOK",24,1,1.00,24.00,0.0178,6.98,5012128484520,05024004798188,24,0,0.01,4.8
103,MYST,"STAT, ADULT COLOURING BOOK MYSTICAL",24,1,0.50,12.00,0.0085,4.90,5012128469718,05024004772348,24,12,0.00,2.4
104,OPTI,"STAT, ADULT COLOURING BOOK OPTICAL",24,1,0.50,12.00,0.0085,4.92,5012128469725,05024004772362,24,12,0.00,2.4
105,MARG,"STAT,MINI HANDHELD TAPE DISPENSER",24,1,0.54,12.96,0.0177,1.90,5012128484711,05024004798546,24,12,0.02,2.59
106,STCK/4,"STAT,3 SHEETS HOOK AND LOOP",48,1,0.50,24.00,0.0207,3.72,5012128267420,05024004367704,48,24,0.01,4.8
107,SPEN/3,"ACT, 4 ROLLER STAMPER PENS",24,1,0.50,12.00,0.0192,1.96,5012128344268,05024004548158,24,12,0.01,2.4
108,DPDN/2,"ACT,8 DOUBLE ENDED MARKERS",24,1,0.50,12.00,0.0131,2.10,5012128369889,05024004605103,24,0,0.01,2.4
109,STMP/1,"ACT, PACK 6 STAMPER PENS",24,1,0.52,12.48,0.0103,2.10,5012128447532,05024004737651,24,12,0.00,2.5
110,GREG,"ACT, 5 PACK GEL COLOURING CRAYONS",24,1,0.52,12.48,0.0117,2.02,5012128500541,05024004824832,24,12,0.01,2.5
111,BKC/3,"ACT,15 JUMBO CHALKS",12,1,0.50,6.00,0.0172,6.00,5012128432132,05024004432136,12,0,0.01,1.2
112,GCSE,"ACT, GLITTER & CONFETTI SET",24,1,0.52,12.48,0.0200,2.06,5012128448195,05024004738719,24,12,0.02,2.5
