Line,Code,Description,Ordered,OrderedCase,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
69,XBNSNL,"BAGS, PAINTED SNOWMAN  GLITTER / LGE",48,1,0.49,23.52,0.0276,4.98,5012128493461,05024004813850,48,12,0.02,4.7
70,XBNSNX,"BAGS, PAINTED SNOWMAN GLITTER / XL",48,1,0.56,26.88,0.0446,6.20,5012128493478,05024004813874,48,12,0.04,5.38
71,XBNPWM,"BAGS, WREATH/BERRIES - GLITTER / MED",48,1,0.30,14.40,0.0192,3.24,5012128491993,05024004811672,48,12,0.02,2.88
72,XBNPWL,"BAGS, WREATH/BERRIES - GLITTER / LGE",48,1,0.49,23.52,0.0281,4.82,5012128492006,05024004811696,48,12,0.02,4.7
73,XBNPWX,"BAGS, WREATH/BERRIES - GLITTER / XL",48,1,0.56,26.88,0.0446,6.00,5012128492013,05024004811719,48,12,0.04,5.38
74,XBNWHL,"BAGS,WHIMSICAL SANTA / GLITTER / LRG",48,1,0.49,23.52,0.0281,4.98,5012128491313,05024004810934,48,12,0.03,4.7
75,XBNWHX,"BAGS, WHIMSICAL SMAN - GLITTER / XL",48,1,0.56,26.88,0.0490,6.20,5012128491337,05024004810958,48,12,0.05,5.38
76,XBNPBB,"BAGS, WINTER SCENE - GLITTER / BTL",48,1,0.30,14.40,0.0165,2.50,5012128492365,05024004812297,48,12,0.01,2.88
77,XBNPBM,"BAGS, WINTER SCENE - GLITTER / MED",48,1,0.30,14.40,0.0192,3.28,5012128492372,05024004812310,48,12,0.02,2.88
78,XBNPBL,"BAGS, WINTER SCENE GLITTER / LARGE",48,1,0.49,23.52,0.0286,5.01,5012128492389,05024004812334,48,1,0.02,4.7
79,XBNPBX,"BAGS, WINTER SCENE - GLITTER / XL",48,1,0.56,26.88,0.0460,6.58,5012128492396,05024004812358,48,12,0.05,5.38
80,XBNSSL,"BAGS, FROSTY SANTA/SMAN - MATT / LGE",48,1,0.49,23.52,0.0281,4.82,5012128491702,05024004811252,48,12,0.02,4.7
81,XBNSSX,"BAGS, FROST SANTA/SMAN - MATT / XL",48,1,0.56,26.88,0.0446,6.00,5012128491726,05024004811276,48,12,0.04,5.38
82,XWP2FF,"WRAP, 2M FLOCKED PREMIUM (4 DES)",80,2,0.95,76.00,0.1448,13.08,5012128495113,05024004816431,40,0,0.20,15.2
83,XWP2KF,"WRAP,2M SFLAKES-HOT FOIL KRAFT (3CLR",80,2,0.95,76.00,0.1513,12.40,5012128495090,05024004816394,40,0,0.20,15.2
84,XW2ICE,"WRAP, 2M FOIL ELEGANT ICE (3 DES)",100,2,0.45,45.00,0.1682,16.16,5012213377652,05012213377829,50,0,0.10,9
85,XW2RDE,"WRAP, 2M FOIL RICH DELIGHTS (3 DES)",100,2,0.45,45.00,0.1622,16.04,5012213377638,05012213377805,50,0,0.06,9
86,XW2FFU,"WRAP, 2M FOIL FESTIVE FUN (3 DES)",100,2,0.45,45.00,0.1661,15.96,5012213377669,05012213377836,50,0,0.06,9
