CodeDescription,UnitSize,PackSize,Qty,UnitPrice,LinePrice,V.A.T,Barcode,UnitCost,Desc,Code
820375 - RIGHT GUARD A P MEN SPORT,150ML,6,1,4.35,4.35,1,5012583200796,0.73,RIGHT GUARD A P MEN SPORT,820375 
207937 - RIGHT GUARD EXTREME HEAT CONTROL,150ML,6,1,4.49,4.49,1,5012583204756,0.75,RIGHT GUARD EXTREME HEAT CONTROL,207937 
277400 - SHAKE N VAC FRESH LEMON,500GM,12,2,9.09,18.18,1,5000204589498,0.76,SHAKE N VAC FRESH LEMON,277400 
277389 - SHAKE N VAC LILY OF VALLEY,500GM,12,2,9.09,18.18,1,5000204589467,0.76,SHAKE N VAC LILY OF VALLEY,277389 
277395 - SHAKE N VAC VANILLA&MAG,500GM,12,2,9.09,18.18,1,5000204589436,0.76,SHAKE N VAC VANILLA&MAG,277395 
875883 - SOFT MANSIZE 2PLY TISSUES,100S,24,1,11.99,11.99,1,5017289004501,0.50,SOFT MANSIZE 2PLY TISSUES,875883 
749814 - SPRAY BOTTLE SML PLASTIC ASST,PRE351,12,2,4.56,9.12,1,5050895067362,0.38,SPRAY BOTTLE SML PLASTIC ASST,749814 
060150 - SUPERDENT TABLETS 30 11 19,30S,12,4,6.69,26.76,1,5000146045472,0.56,SUPERDENT TABLETS 30 11 19,060150 
265789 - VAC FRESH PET FRESH,6PK,12,2,6.49,12.98,1,746984923453,0.54,VAC FRESH PET FRESH,265789 
063616 - VIM SCOUR POWDER,500GM,8,3,4.39,13.17,1,5060002361559,0.55,VIM SCOUR POWDER,063616 
146599 - ZAZIE HAIR BOBBLES 40PK,PRE877,12,2,6.24,12.48,1,5050895242691,0.52,ZAZIE HAIR BOBBLES 40PK,146599 
746919 - ZAZIE HAIR BRUSH IN DISP BLK 6ASST,PRE801,24,1,15.60,15.60,1,5050895066440,0.65,ZAZIE HAIR BRUSH IN DISP BLK 6 ASST,746919 
727323 - ZAZIE NAIL POLISH REMOVER,250ML,12,2,6.15,12.30,1,5037741980013,0.51,ZAZIE NAIL POLISH REMOVER,727323 
070617 - ZOFLORA DISINFECTANT ASSTD A,56ML,12,3,5.89,17.67,1,5011309300512,0.49,ZOFLORA DISINFECTANT ASSTD A,070617 
548759 - ZOFLORA DISINFECTANT ASSTD D,56ML,12,3,5.89,17.67,1,5011309300918,0.49,ZOFLORA DISINFECTANT ASSTD D,548759 
