Code,price,Name,Description,Short Description,Long Description,CartonQty,Pallet Quantity,EanBarcode,ITF Barcode,Net Weight,Image Main,Image 1,Image 2,Image 3,Video,Alternative 1,Alternative 2,Alternative 3,Acessories 1,Acessories 2,Acessories 3
BFNIGER2,1.50,0.9kg Bag Niger Seed,0.9kg bag niger seed for wild birds. Packed in a full colour display bag.,0.9kg bag niger seed for wild birds.,Niger bird seed (0.9kg) suitable for a variety of wild garden birds. Comes packed in an air tight container with full colour label.,6,810,5013478138545,5.01348E+12,0.9,rsz_cdfa9a228f73430c83a712ba3db84591.jpg,,,,,,,,BF024,,
TRAY4,0.50,2 pk Plant Pot Trays to fit up to 26cm(10in) Pots,2 pack plastic plant pot trays suitable for 23cm(9in) and 26cm(10in) plant pots. Terracotta colour. Complete with a full colour sticker label.,2 pack plastic plant pot trays suitable for 23cm(9in) and 26cm(10in) plant pots. Terracotta colour.,,24,3072,5013478117007,5.01348E+12,0.06,main_TRAY4_PA.jpg,,,,,TRAY1,TRAY2,TRAY3,POT6,POT7,POT8
TRAY3,0.50,3 Pack Plant Pot Trays to fit up to 20cm(8in) Pots,3 pack plastic plant pot trays suitable for 18cm(7in) and 20cm(8in) plant pots. Terracotta colour. Complete with a full colour sticker label.,3 pack plastic plant pot trays suitable for 18cm(7in) and 20cm(8in) plant pots. Terracotta colour.,A Pack of 3 robust planting trays. Size: 20cm. Come with full colour wrap around sticker.,24,3264,5013478116994,5.01348E+12,0.04,main_TRAY3_PA.jpg,,,,,TRAY1,TRAY2,TRAY4,POT5,POT6,POT7
TRAY2,0.50,5 Pack Plant Pot Trays for uo to 16cm(5in) Pots,5 pack plastic plant pot trays suitable for 13cm(5in) and 16cm(6in) plant pots. Terracotta colour. Complete with a full colour sticker label.,5 pack plastic plant pot trays suitable for 13cm(5in) and 16cm(6in) plant pots. Terracotta colour.,A Pack of 5 robust planting trays. Size: 12.7cm. Come with full colour wrap around sticker.,24,3264,5013478116987,5.01348E+12,0.02,main_TRAY2_PA.jpg,,,,,TRAY1,TRAY3,TRAY4,POT3,POT4,POT5
TRAY1,0.50,10 Pack Plant Pot Trays to fit up 10cm(4in) Pots,10 pack plastic plant pot trays suitable for 8cm(3in) and 10cm(4in) plant pots. Terracotta colour. Complete with a full colour sticker label.,10 pack plastic plant pot trays suitable for 8cm(3in) and 10cm(4in) plant pots. Terracotta colour.,A Pack of 10 robust planting trays. Size: 7.6cm. Come with full colour wrap around sticker.,24,3360,5013478116970,5.01348E+12,0.01,main_TRAY1_PA.jpg,,,,,TRAY2,TRAY3,TRAY4,POT1,POT2,POT3
PPOTSS,1.40,36 Pack 8cm(3in) Biodegradeable Square Peat Pots,36 pack 8cm(3in) biodegradeable square peat pots. Shrink wrapped with a full colour label.,36 pack 8cm(3in) biodegradeable square peat pots.,36 Pcs Square Peat Pots,12,384,5013478134882,5.01348E+12,0.29,rsz_5442e390cdf5498780386485054cd1c3.jpg,PPOTSS_1.jpg,,,,PPOTSR,,,GSP202,,
PPOTSR,1.40,36 Pack 8cm(3in) Biodegradable Round Peat Pots,36 pack 8cm(3in) biodegradable round peat pots. Shrink wrapped with a full colour label.,36 pack 8cm(3in) biodegradable round peat pots.,36 quality round peat pots.,12,384,5013478134899,5.01348E+12,0.01,rsz_fe8d3c13557e425e9e6fcc31a9f15a53.jpg,PPOTSR_1.jpg,,,,PPOTSS,,,GSP202,,
POT6,0.50,21cm(8in) Plant Pot,21cm(8in) plastic plant pot. Terracotta colour. Complete with a full colour sticker label.,21cm(8in) plastic plant pot. Terracotta colour.,,24,1200,5013478117069,5.01348E+12,0.14,main_POT6_PA.jpg,,,,,POT5,POT7,,TRAY3,,
POT5,0.50,2 Pack x 18cm(7in) Plant Pots,2 pack x 18cm(7in) plastic plant pots. Terracotta colour. Complete with a full colour sticker label.,2 pack x 18cm(7in) plastic plant pots. Terracotta colour.,A Pack of 2 7 inch robust plant pots. Comes with full colour wrap around sticker.,24,1680,5013478117052,5.01348E+12,0.11,main_POT5_PA.jpg,,,,,POT4,POT6,,TRAY3,,
POT3,0.50,4 Pack x 13cm(5in) Plant Pots,4 pack x 13cm(5in) plastic plant pots. Terracotta colour. Complete with a full colour sticker label.,4 pack x 13cm(5in) plastic plant pots. Terracotta colour.,A Pack of 5 robust plant pots. Size: 5? (12.7cm) Come with full colour wrap around sticker.,24,2304,5013478117038,5.01348E+12,0.05,main_POT3_PA.jpg,,,,,POT2,POT4,,TRAY2,,
POT1,0.50,8 Pack x 8cm(3in) Plant Pots,8 pack x 8cm(3in) plastic plant pots. Terracotta colour. Complete with a full colour sticker label.,8 pack x 8cm(3in) plastic plant pots. Terracotta colour.,A Pack of 8 robust plant pots. Size: 3 inch. Come with full colour wrap around sticker.,72,3600,5013478117014,5.01348E+12,0.02,main_POT1_PA.jpg,,,,,POT2,POT3,,TRAY1,,
INSOLE4,0.50,2prs Anti Odour Shoe Boot Trainer Insoles,2prs anti odour shoe boot trainer insoles. Natural latex rubber upper with built in charcoal layer to absorb odours. Easily cut to size. Packed in a blister with full colour hanging backing card.,2prs anti odour shoe boot trainer insoles. Natural latex rubber upper with built in charcoal layer to absorb odours. Fits both ladies and mens footwear sizes 3(35.5) -11(46).,.,12,1152,5013478142542,5.01348E+12,0.01,rsz_7f54b3f660764c038f31439b9c57a67b.jpg,,,,,INSOLE1,INSOLE2,INSOLE3,,,
KGV4,2.00,100 Pack Powdered Vinyl Disposable Gloves - XLarge,100 pack powdered vinyl disposable gloves. Size: XLarge. Non sterile. Packed in a full colour perforated dispensing box.,100 pack powdered vinyl disposable gloves. Size: XLarge. Non sterile. Packed in a full colour perforated dispensing box.,Extra large powdered vinyl disposable gloves. Non-sterile single-use ambidextrous gloves. Packed in a full colour display carton.,10,660,5013478118745,5.01348E+12,0.64,rsz_2faea9fe94c044309c5cf06c58bd2b55.jpg,,,,,KGV1,KGV2,KGV3,,,
WARDUM,0.50,Wardrobe Dehumidifier,Wardrobe Dehumidifier,Unscented wardrobe dehumidifer. Specially designed packet to remove moisture from wardrobes. Stops damp mould mildew and condensation build up and lasts 3-6 weeks. Individually packed in a full colour retail pack.,,24,1872,5013478150721,5.01348E+12,0.22,rsz_620d740e67974038b99be16134a6fe60.jpg,,,,,,,,,,
BBDOG,0.50,100 Pack Disposable Doggy Poop Bags,100 pack disposable doggy poop bags. Fragranced with easy tie handles. Packed in a full colour carton.,100 pack disposable doggy poop bags. Fragranced with easy tie handles.,100 Pack disposable doggy bags. Come packed in a full colour box,24,1728,5013478116727,5.01348E+12,0.2,main_BBDOG_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\B\BBDOG.pdf,,,,,,,,,
BB5WB,0.50,5 x Black Quality 440L Wheelie Bin Liners,5 x black quality 440L wheelie bin liners. H1380mmxW1060mm. 14 microns. Packed on a roll with a full colour paper wrap.,5 x black quality 440L wheelie bin liners. H1380mmxW1060mm. 14 microns.,5 Pack Wheelie bin Liners,20,3400,5013478130839,5.01348E+12,0.04,main_BB5WB_PA.jpg,,,,,BB20DB,,,BBGS1,BBRS1,BB5SSB
BB8GB,0.50,8 x Green Heavy Duty 75L Garden Sacks,8 x green heavy duty 75L garden sacks. H800mmxW600mm. 30 microns. Packed on a roll with a full colour paper wrap.,8 x green heavy duty 75L garden sacks. H800mmxW600mm. 30 microns.,heavy duty garden sacks. Roll packed with full colour wrap.,20,3400,5013478130846,5.01348E+12,0.03,main_BB8GB_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\BB8GB.pdf,,,,BBGS1,,,,,
PEST4,0.50,Traditional Wooden Rat Trap,Traditional wooden rat trap with a sensitive quick action mechanism to help control problem pests. Packed in a poly bag with full colour header card.,Traditional wooden rat trap with a sensitive quick action mechanism to help control problem pests.,A traditional method of catching rats. Simple and easy to use and comes packed in a poly bag with a full colour high gloss header card.,12,2880,5013478120007,5.01348E+12,0.12,rsz_739972311e43480e96bccaf76452491f.jpg,PEST4_1.jpg,,,,PEST9,,,,,
BFWF02,1.00,0.9kg Bag Robin Feed,0.9kg bag robin feed. Packed in a full colour display bag.,0.9kg bag robin feed.,High Energy Robin Feed (0.9kg). Attracts a variety of birds suitable all year round and high energy. Packed in an air tight full colour pack.,16,800,5013478115768,5.01348E+12,0.96,main_BFWF02_PA.jpg,,,,,BFWF01,BFWF04,,BF002,BF018,BF019
BFMW03,0.75,80g Bag Dried Mealworms Wild Bird Feed,80g dried mealworms for bird food. A feed material for wild birds providing a source of high protein. Packed in resealable full colour film bag with window.,80g dried mealworms for bird food. A feed material for wild birds providing a source of high protein.,80g Dried Mealworm in bag. Suitable for a variety of wild garden birds.,60,2100,5013478132529,5.01348E+12,0.08,rsz_6ea483e80acd468d9d3a1626ae5355ae.jpg,,,,,BFMW01,BFMW04,,BF026,,
BF18S,0.75,1.8kg Bag Wild Bird Seed,1.8kg of wild bird seed. A source of high energy. Packed in a full colour display bag.,1.8kg of wild bird seed. A source of high energy.,1.8kg Bag Bird Seedhigh energy rating which is suitable for a variety of wild garden birds. Comes packed in a full colour air tight bag.,8,576,5013478114167,5.01348E+12,1.8,main_BF18S_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\BF18S.png,,,,BF5S,,,BF002,BF020,BF021
BF18N,2.50,1.8kg Bag Peanuts,1.8kg bag of peanuts for wild birds. High energy rating. Packed in a full colour display bag.,1.8kg bag of peanuts for wild birds. High energy rating.,1.8KG bag of bird nuts high energy rating which is suitable for a variety of wild garden birds. Comes packed in a full colour air tight bag.1.8KG bag of bird nuts high energy rating which is suitable for a variety of wild garden birds. Comes packed in a full colour air tight bag.,6,300,5013478114150,5.01348E+12,1.81,main_BF18N_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\BF18N.png,,,,BF5N,,,BF001,BF018,BF019
WICKER3,3.95,Wicker Coffee Cup Basket,Wicker Coffee Cup Basket,Large Tea cup flower planter finished with natural wicker and ready for planting with plastic liner. H16 x D34cm,,6,0,5013478151490,5.01348E+12,0,rsz_2b38b0c8dd4b42d08a788e001064d138.jpg,,,,,,,,,,
WICKER1,3.95,Wicker Watering Can Basket,Wicker Watering Can Basket,Large watering can flower planter finished with natural wicker and ready for planting with plastic liner. H23 x W50 x D24cm,,6,0,5013478151476,5.01348E+12,0,rsz_9776fab7bb324b2cb38cd47a663c77e3.jpg,,,,,,,,,,
HBBANI,0.75,Wildlife Hanging Basket Bracket,Wildlife hanging basket bracket. 4 designs per outer - Squirrel Rabbit Bird and Cockerel. Suitable for hanging 10in and 12in baskets. Black powder coated finish. Complete with full colour hang tag.,Wildlife hanging basket bracket. 4 designs per outer - Squirrel Rabbit Bird and Cockerel. Suitable for hanging 10in and 12in baskets. Black powder coated finish.,Assorted animal brackets. Highly decorative hanging basket bracket. 4 designs per outer 6 of each design. Packed with a full colour label.,24,2880,5013478135810,5.01348E+12,0.24,main_HBBANI_PA.jpg,HBBANI_1.jpg,HBBANI_2.jpg,,,HBB12AB,HBB12B,HBB12DB,HB12G,HB12R,
GGHDRR,0.70,Red Rubber Glove,This heavy duty red rubber glove is designed to handle all general purpose tasks. Made from the best materials to protect against dangerous chemicals.,heavy duty red rubber glove,This heavy duty red rubber glove is designed to handle all general purpose tasks. Made from the best materials to protect against dangerous chemicals.,72,3600,5013478462961,5.01348E+12,0.06,main_GGHDRR_PA.jpg,,,,,GGL1,GGMLX,,,,
TWPLAN,2.50,3 Pack 5ft Tomato Wire Planters,Pack of 3 spiral supports for any climbing or vining plants. The plant finds support by growing up through the spiral. Made from rustproof powder coated steel wire. Height: 1.5m (5ft) approx. Packed in poly bag with full colour label,Pack of 3 spiral supports for any climbing or vining plants. The plant finds support by growing up through the spiral. Made from rustproof powder coated steel wire. Height: 1.5m (5ft) approx.,,6,600,5013478150905,5.01348E+12,0.35,rsz_25e2244afc1a48d4a300a578926a087a.jpg,,,,,,,,,,
CANE1,0.50,60cm Split Green Garden Canes,60cm split green garden canes. 20 pack. Packed in a poly bag with full colour header card.,60cm split green garden canes. 20 pack.,,24,3360,5013478122124,5.01348E+12,0.29,main_CANE1_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\CANE1.png,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\CANE1_2.png,,,,,,,,
WNETTC2,2.95,25mm Chicken Wire,25mm Chicken Wire. L6m x H0.9m. Galvanised tough woven 25mm mesh. Shrink wrapped with a full colour insert label.,25mm Chicken Wire. L6m x H0.9m. Galvanised tough woven 25mm mesh.,Standard 25mm Chicken Wire Size: 6m x 0.9m Wrapped in shrink wrap with full colour label.,6,336,5013478122056,5.01348E+12,1.42,rsz_96ece8de2eee4d8d8e481a34d8bd40c2.jpg,WNETTC2_1.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\W\WNETTC2_2.pdf,,,WNETTC1,WNETTF1,WNETTW1,GSW103B,,
INSOLE1,0.50,1pr Memory Foam Shoe Boot Trainer Insoles,1pr memory foam shoe boot trainer insoles. Foam insoles with natural latex rubber. Fits both ladies and mens footwear sizes 3(35.5) -11(46). Easily cut to size. Packed in a blister with full colour hanging backing card.,1pr memory foam shoe boot trainer insoles. Foam insoles with natural latex rubber. Fits both ladies and mens footwear sizes 3(35.5) -11(46).,Easily cut to size. Packed in a blister with full colour hanging backing card.,12,1056,5013478142511,5.01348E+12,0.01,rsz_98675bf409e64efab6e59920c21f76c5.jpg,,,,,INSOLE2,INSOLE3,INSOLE4,,,
BB50S,0.50,50 x White Value 30L Swing Bin Liners,50 x white value 30L swing bin liners. H700mmxW500mm. Packed on a roll in a full colour acetate film bag.,50 x white value 30L swing bin liners. H700mmxW500mm.,60 Pack of Swing Bin Liners packed in a full colour printed bag. Poly bagged in 6?s.,20,2100,5013478125897,5.01348E+12,0.23,main_BB50S_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\BB50S.png,,,,BB5SSB,,,PED200,PED300,
BF6UB,0.40,6 Pack Suet Fat Balls Unnetted,6 pack of un-netted suet fat balls for wild birds. 80g each/480g pack. ,6 pack of un-netted suet fat balls for wild birds. 80g each/480g pack.,,20,1200,5013478148865,5.01348E+12,0.08,rsz_d5572f0aa67f461691d59f104229e39b.jpg,,,,,,,,,,
