PRODUCTCODE,Description,Cartons,Outer,TotalPieces,PRICE,GROSSVALUE,NETT VALUE,VAT,BARCODE
CR1352,24X10CM FOIL NUMBER STICKERS,1,72,72,0.4800,34.56,34.04,6.81,5024418168171
CR1314,PK 100 FELT ALPHABET STICKERS,1,72,72,0.4800,34.56,34.04,6.81,5024418155379
CR1062,PK26 ALPHBET CORK LETTERS,1,48,48,0.9500,45.60,44.92,8.98,5024418926962
ST5096,4 ASSORTED WOBBLY EYES,1,96,96,0.4500,43.20,42.55,8.51,5024418417743
ST4896,300X220MM CUTTING MAT,1,48,48,1.0000,48.00,47.28,9.46,5024418397977
CD5265A,5X7.5 OVERDIPPED CHURCH PILLAR,1,96,96,0.4800,46.08,45.39,9.08,5024418095293
FR0052,22X4 INCENSE STICKS 10 AST,1,120,120,0.4500,54.00,53.19,10.64,5024418725657
UN0068,9PC GLITTER UNICORN BUNTING,1,72,72,0.4800,34.56,34.04,6.81,5024418132479
HA0230,26CM ANIMATED WITCHY GHOST,1,8,8,5.2500,42.00,41.37,8.27,5024418046585
HA0115,PK12 SPIDER & WEBB,1,72,72,0.4100,29.52,29.08,5.82,5024418948506
KI6713,26X17 MAGNETIC WEEKLY PLANNER,1,72,72,0.4800,34.56,34.04,6.81,5024418963257
