Account,Customer Name,Product,Description,EAN,outerQ,InnerQ,Price,Qty,Value,Weight,Prod Height (cm),Prod Width (cm),Prod Length (cm),Outer,InnerB
TO00041,LYNDA MILES T/AS MILES APART,GDFV,BAGS GIANT SQ - TEXT & ICON,5012128400933.00,48,12,0.49,48,23.52,0.26,46.5,45,0.03,5024004671924.00,5024004671931.00
TO00041,LYNDA MILES T/AS MILES APART,GLVV,CRAFT-250ML WHITE KRAFT GLUE,5012128388651.00,24,12,0.49,240,117.6,0.3,5.5,5.5,18.5,5024004645994.00,5024004646007.00
TO00041,LYNDA MILES T/AS MILES APART,HCHH,HOME CREATE XMAS CHILDS CHEF HAT,5012128412158.00,48,0,0.48,48,23.04,0.04,25,28,1,5024004688625.00,
TO00041,LYNDA MILES T/AS MILES APART,HCHP,HOME CREATE XMAS CHILDRENS APRON,5012128412219.00,48,0,0.52,48,24.96,0.06,33.5,21,0.6,5024004688700.00,
TO00041,LYNDA MILES T/AS MILES APART,HDHS,DECS - 6 HANGING STARS (3 COLOURWAY),5012128409318.00,48,0,0.5,96,48,0.04,35.5,7.5,3,5024004683446.00,
TO00041,LYNDA MILES T/AS MILES APART,HDPG,DECS - BAUBLES 15 X 3CM - SILVER,5012128409257.00,48,0,0.5,48,24,0.04,49,3.3,3.3,5024004683323.00,
TO00041,LYNDA MILES T/AS MILES APART,HDRG,DECS BAUBLES 15 X 3CM - GOLD,5012128409264.00,48,0,0.5,48,24,0.04,49,3.3,3.3,5024004683354.00,
TO00041,LYNDA MILES T/AS MILES APART,HDRW,DECS  - BAUBLES 15 X 3CM RED,5012128409271.00,48,0,0.5,48,24,0.04,49,3.3,3.3,5024004683361.00,
TO00041,LYNDA MILES T/AS MILES APART,HDSC,DECS - STAR & TREE WOOD - GREY,5012128414046.00,48,0,0.94,48,45.12,0.06,52,14,1.5,5024004690727.00,
TO00041,LYNDA MILES T/AS MILES APART,HDSF,DECS - 6 HANGING SNOWFLAKES (3 CLRS),5012128409301.00,48,0,0.5,96,48,0.08,18,12,2.5,5024004683422.00,
TO00041,LYNDA MILES T/AS MILES APART,HDSQ,DECS - 4 SEQUIN BAUBLES (3 COLOURS),5012128409332.00,48,0,0.5,48,24,0.04,10,10,5,5024004683484.00,
TO00041,LYNDA MILES T/AS MILES APART,HDTG,DECS - SFLAKE GARLAND -SILVER & GOLD,5012128413995.00,48,0,0.5,48,24,0.04,2,11,10,5024004690628.00,
TO00041,LYNDA MILES T/AS MILES APART,HDTT,DECS - TREE TOPPER (2 COLOURWAYS),5012128414077.00,48,0,0.5,48,24,0.08,30,15,3.5,5024004690789.00,
TO00041,LYNDA MILES T/AS MILES APART,HDUX,SS HATS - DELUXE,5012128411830.00,48,0,0.55,48,26.4,0.06,48,32,5,5024004688106.00,
TO00041,LYNDA MILES T/AS MILES APART,HECH,SS HATS - EMBROIDERED X 2 DESIGNS,5012128411809.00,48,0,0.5,48,24,0.04,49,30,2.5,5024004688045.00,
TO00041,LYNDA MILES T/AS MILES APART,HOI,CRAFT-ACTIVITY CRAFT FUN PACK,5012128099298.00,48,12,0.5,48,24,0.1,1.5,21,34,5024004099292.00,5024004583203.00
TO00041,LYNDA MILES T/AS MILES APART,HTCB,"PEPPERPOT, A6 SPIRAL JOURNAL, HOOT",5012128398698.00,24,6,1.75,24,42,0.24,2.5,14,16.5,5024004667446.00,5024004667453.00
TO00041,LYNDA MILES T/AS MILES APART,IK/2,GLASS CLIP FRAME 11X14IN (28X35CMS),5012128009112.00,18,6,0.99,36,35.64,0.68,35.5,1,28.5,5024004073360.00,
TO00041,LYNDA MILES T/AS MILES APART,JANE,STAT-TWIN PACK SLIM NOTEBOOK 50SHS,5012128415753.00,24,12,0.52,24,12.48,0.2,1.5,9,18,5024004693360.00,5024004693377.00
TO00041,LYNDA MILES T/AS MILES APART,JIBB,DEC- BELL BAUBLES (PACK OF 9),5012128414510.00,48,12,0.5,48,24,0.04,13.5,8.5,2,5024004691168.00,
TO00041,LYNDA MILES T/AS MILES APART,JMJ/3,STAT- 3 BINGO DABBERS,5012128167393.00,36,12,0.5,36,18,0.08,1.5,11,19.5,5024004167397.00,5024004641361.00
TO00041,LYNDA MILES T/AS MILES APART,KKG/2,STAT COPIER PAPER - 90 SHEET - 70GSM,5012128087370.00,32,0,0.51,288,146.88,0.4,30,1,21.5,5024004087374.00,
TO00041,LYNDA MILES T/AS MILES APART,KKG/3,STAT COPIER PAPER - 90SHEET - 70GSM,5012128087370.00,32,0,0.51,128,65.28,0.4,29.8,21,1,5024004087374.00,
TO00041,LYNDA MILES T/AS MILES APART,KKNP,TABLEWARE 25 NAPKINS KIDS,5012128404894.00,24,0,0.48,48,23.04,0.1,23,19.5,1.5,5024004677025.00,
TO00041,LYNDA MILES T/AS MILES APART,KY/2,GLASS CLIP FRAME 5X7INS  (13X18CM),5012128011252.00,72,12,0.28,72,20.16,0.16,18.3,1,13.3,5024004073377.00,
TO00041,LYNDA MILES T/AS MILES APART,LAMP/2,STAT LAMINATING POUCHES PACK OF 15,5012128270086.00,24,0,0.5,24,12,0.12,0.3,16.5,24,5024004373026.00,
TO00041,LYNDA MILES T/AS MILES APART,LAUN/3,STAT PENS- 2 LAUNDRY PEN WITH LABELS,5012128323744.00,24,12,0.46,24,11.04,0.04,21,1.5,10.5,5024004498873.00,5024004498880.00
TO00041,LYNDA MILES T/AS MILES APART,LAY/1,STAT-MAILING LABELS-14SH/420 LABELS,5012128144905.00,48,24,0.5,48,24,0.18,0.3,31,23.3,5024004144909.00,5024004497975.00
TO00041,LYNDA MILES T/AS MILES APART,LC/2,GLASS CLIP FRAME 6X8INS  (15X20CMS),5012128012037.00,60,10,0.39,60,23.4,0.2,20.5,15.5,1.2,5024004073384.00,
TO00041,LYNDA MILES T/AS MILES APART,LCDW,CARDS -MONEY WLTS 4 DESIGN KNIT CHAR,5012128405297.00,48,0,0.45,96,43.2,0.08,0.3,18,44.5,5024004677780.00,
TO00041,LYNDA MILES T/AS MILES APART,LCO/4,"STAT,6X4' PHOTO PAPER,GLOSS,36 SHEET",5012128136467.00,48,24,0.48,48,23.04,0.14,0.5,19,23,5024004136461.00,5024004615065.00
