DESCRIPTION,CODE,UNIT,PACK,CASE COST £,EANCode,OUTERCODE,PALLET,LAYER,UnitPrice,To Order Case Qty
ASTONISH TILE&MIRROR TRIG                         ,259602,750ML     ,12,7.25,5060060210202,55060060210207,65,13,0.6,2
ASTONISH UPVC CREAM CLEANER                       ,136590,550ML     ,12,7.25,5060060210141,85060060210147,119,17,0.6,1
BIG D OVEN CLEANER                                ,228738,300ML     ,6,4.69,5000325010802,5000325012202,280,56,0.78,2
BRITE HOB POWER KIT                               ,118473,KIT       ,6,3.99,5011962112095,5011962902115,180,30,0.67,1
BRITE OVEN POWER KIT 50% EX FREE                  ,205212,495ML     ,6,3.95,5011962540010,5011962100450,180,30,0.66,4
CHARM POLISH NATURAL 10% EXTRA                    ,26580,330ML     ,12,6.89,5010508184800,5010508184817,224,32,0.57,2
CHARM POLISH SPRING M/S 10% EXTRA                 ,183296,330ML     ,12,6.89,5010508184824,5010508184831,224,32,0.57,2
ESSENTIALS CAUSTIC SODA 25% EX FREE               ,205204,625G      ,6,4.39,5011962540072,5011962700452,180,36,0.73,8
H/CARE HOB BRITE CREAM                            ,958663,300ML     ,6,5.49,5011962117007,5011962117601,270,54,0.92,4
H/CARE SHINY SINKS CRM                            ,958639,290ml     ,6,4.19,5011962116000,5011962116604,270,54,0.7,6
HARRINGTONS METAL POLISH WADD                     ,903676,70GM      ,12,7.69,5025416220038,5025416221035,198,18,0.64,1
LIQ POWER SINK/DRAIN                              ,299060,1000g     ,12,7.69,5025416770014,5025416777013,66,11,0.64,1
LIQ POWER SINK/DRAIN FRESHNER                     ,685860,1000g     ,12,7.69,5025416770021,5025416777020,55,11,0.64,1
NEUTRADOL CARPET SUPER FRESH                      ,701608,350GM     ,12,7.65,5013912900110,5013912900134,133,19,0.64,3
OUST ALL PURPOSE DESCALER                         ,934241,250ml     ,6,6.99,5000325030527,5000325030534,228,38,1.17,8
OUST ALL PURPOSE DESCALER                         ,91661,3SACH     ,6,5.49,5000325018990,5000325022102,275,55,0.92,8
PLEDGE 5 IN 1 M/S JASMINE                         ,174821,250ML     ,6,4.09,5000204689297,5000204689181,240,60,0.68,2
PLEDGE 5 IN 1 M/S ORIGINAL                        ,174409,250ML     ,6,4.09,5000204689204,5000204689129,240,60,0.68,2
PLEDGE 5 IN 1 POLISH LAVENDER                     ,174425,250ML     ,6,4.09,5000204690057,5000204689150,240,60,0.68,2
PLEDGE 5 IN 1 POLISH WOOD CLASSIC                 ,174417,250ML     ,6,4.09,5000204690088,5000204689068,240,60,0.68,2
VIM SCOUR POWDER                                  ,63616,500GM     ,8,3.99,5060002361559,15060002361556,140,28,0.5,6
EASY W/UP LIQUID ALOE VERA                        ,138372,550ML     ,12,4.39,5000185111602,5000185031528,120,20,0.37,2
MORNING FRESH W/UP ORIG +50%                      ,794265,450ML     ,16,9.15,5000101988790,5000101988776,78,13,0.57,2
MORNING FRESH W/UP Z/LEMON+50%                    ,841660,450ML     ,16,9.15,5000101989421,5000101989490,78,13,0.57,2
ASTONISH DISH TABS                                ,190447,42'S      ,8,17.39,48256221800,55060060210634,96,12,2.17,2
CLN&FRSH D/WASH CLN A/BAC                         ,957871,250ML     ,10,6.69,5010159013375,5010159553208,273,39,0.67,1
CLN&FRSH RINSE AID                                ,900276,500ML     ,12,7.15,5010159013368,5010159053999,100,20,0.6,1
ASTONISH GERM CLR DISINFECTANT                    ,176158,725ML     ,12,7.25,5060060210516,55060060210511,78,13,0.6,1
CLN&FRSH BLEACH CITRUS                            ,347504,2LTR      ,6,4.19,5010159030303,5010159153408,65,13,0.7,3
CLN&FRSH BLEACH CITRUS                            ,347490,750ML     ,12,4.09,5010159030297,5010159153392,90,18,0.34,2
CLN&FRSH BLEACH FRESH                             ,205572,750ML     ,12,4.09,5010159030211,5010159153071,90,18,0.34,2
CLN&FRSH BLEACH ORIGINAL                          ,258736,2LTR      ,6,4.19,5010159030228,5010159153163,65,13,0.7,3
CLN&FRSH BLEACH ORIGINAL                          ,198295,750ML     ,12,4.09,5010159030204,5010159153064,90,18,0.34,2
JEYES FLUID READY TO USE                          ,128050,500ML     ,6,5.39,5000185111138,5000185030873,195,39,0.9,2
ZOFLORA ASSTD A                                   ,70617,56ML      ,12,5.89,5011309300512,5011309300123,364,52,0.49,4
DETTOL WIPES A/BAC                                ,973116,20s       ,10,7.45,5011417554975,5011417764251,196,49,0.75,2
PAROZONE TLET WIPES CITRUS                        ,981309,40S       ,8,5.69,5000185103652,5000185028603,308,44,0.71,3
PAROZONE TLET WIPES ORIG                          ,977283,40S       ,8,5.69,5000185103096,5000185028610,308,44,0.71,3
HARPIC ACTIVE GEL MARINE                          ,2402,750ML     ,12,7.89,5900627046397,15900627046394,72,12,0.66,1
PARAZONE TLET WIPES ORANGE (C)                    ,207573,40'S      ,8,3.49,5000185109845,5000185029303,308,44,0.44,2
1001 CARPET SPOO 3IN1                             ,62076,500ML     ,6,4.69,5032227448285,5032227000124,111,37,0.78,4
1001 SPRUCE & CLEAN                               ,28010,500ML     ,6,4.59,5032227448278,5032227000117,111,37,0.77,4
ASTONISH CARPET CLEAN TRIGGER                     ,350751,750ML     ,12,7.29,48256281170,48256081176,65,13,0.61,1
ASTONISH FLOOR FRESH SEA MIST                     ,934209,750ML     ,12,7.15,48256226058,48256026054,78,13,0.6,1
ASTONISH WOOD FLOOR POLISH                        ,934233,750ML     ,12,7.99,48256225754,48256054200,78,13,0.67,1
NEUTRADOL CRPET ORIG+50G                          ,752198,400GM     ,12,7.65,5013912908277,5013912908338,133,19,0.64,2
SHAKE N VAC FRESH LEMON                           ,277400,500GM     ,12,9.09,5000204589498,5000204589504,112,28,0.76,1
SHAKE N VAC LILY OF VALLEY                        ,277389,500GM     ,12,9.09,5000204589467,5000204589474,112,28,0.76,1
SHAKE N VAC VANILLA&MAG                           ,277395,500GM     ,12,9.09,5000204589436,5000204589443,112,28,0.76,1
ARIEL ACTILIFT 245 WASH                           ,190900,245W      ,1,15.95,              ,4015600955113,108,27,15.95,2
ASTONISH STAIN BAR                                ,20931,75GM      ,12,6.99,48256229905,48256992250,300,20,0.58,2
ASTONISH STAIN REMOVE TRIGGER                     ,641234,750ML     ,12,7.55,48256293210,48256093216,65,13,0.63,2
COMFORT PURE                                      ,192956,5LTR      ,2,7.99,7615400720804,7615400720798,100,20,4,2
DAZ 85 WASH                                       ,165482,85W       ,1,9.49,4015600942359,4015600942359,93,31,9.49,2
DR BECK COLOUR CATCHER 12 SHEETS                  ,955726,12'S      ,12,9.69,5010287475236,5010287875234,160,32,0.81,1
DR BECK GLO BRIGHT STAIN REMOVER                  ,667511,40GM      ,8,5.35,5010287471115,5010287871250,190,38,0.67,1
DR BECK GLO WHITE SUPER WHITENER                  ,667529,40GM      ,8,5.35,5010287445161,5010287845169,190,38,0.67,1
DRI PAK WASH SODA CRYSTALS                        ,213885,1KG       ,6,3.15,5011289000297,5011289000426,140,20,0.53,8
LENOR PURE CARE COTTON FLWRS                      ,896904,550ML     ,8,7.2,5410076889143,4084500230293,145,26,0.9,1
DISH CLOTHS PREMIUM LARGE 5PK                     ,783995,PRE116    ,12,6.96,5050895080699,5050895080705,120,40,0.58,4
FLOWERSHOP A/F BERRIES+30%                        ,272087,300ML     ,12,4.29,5012233066550,5012233004323,155,31,0.36,2
FLOWERSHOP A/F LAVENDAR+30%                       ,214594,300ML     ,12,4.29,5012233022150,5012233020514,155,31,0.36,2
FLOWERSHOP A/F ODOUR NEUT+30%(D)                  ,205981,300ML     ,12,4.29,5012233210588,5012233210595,155,31,0.36,2
FLOWERSHOP A/F S/WOOD+30%                         ,272108,300ML     ,12,4.29,5012233010218,5012233016210,155,31,0.36,2
FLOWERSHOP A/TOBACCO+30%(D)                       ,213059,300ML     ,12,4.29,              ,5012233065249,155,31,0.36,1
GLADE SOLID LAVENDER GEL                          ,774655,          ,8,5.49,50204649,5000204503883,186,31,0.69,2
GLADE SOLID LILY GEL                              ,275247,          ,8,5.49,50204977,5000204503821,186,31,0.69,2
GLADE SOLID MAG&VANILLA GEL                       ,275224,          ,8,5.49,50204274,5000204503838,186,31,0.69,2
NEUTRADOL A/FRESH ORIG                            ,147793,300ML     ,12,7.95,5013912208001,5013912103900,155,31,0.66,2
NEUTRADOL A/FRESH S/FRESH                         ,313940,300ML     ,12,7.95,5013912900165,5013912900189,155,31,0.66,2
VAC FRESH SUMMER MEDOW                            ,242100,6PK       ,12,6.49,746984912341,               ,120,20,0.54,1
FIRE LIGHTERS FLAMEFAST                           ,849490,15S       ,28,8.99,5022704000013,5022704028000,90,18,0.32,8
NICKY TALENT KITCHEN TOWEL                        ,537611,4PK       ,6,4.09,8004260481137,8004260981132,25,5,0.68,24
CHERISH CUBE TISSUES BOUTIQUE                     ,207797,100'S     ,36,11.85,5017289002606,5017289002606,32,8,0.33,2
HANKIES LADIES BOXED 3PACK                        ,900747,HK040     ,12,7.2,5020133160407,               ,1,1,0.6,2
HANKIES MENS BOXED 3PK (R)                        ,631160,HK011     ,12,7.6,5020133160155,               ,1,12,0.63,2
NICKY SOFT FAMILY TISSUES                         ,174061,124s      ,15,6.99,8004260422307,8004260519854,39,13,0.47,3
SOFT MANSIZE 2PLY TISSUES                         ,875883,100S      ,24,11.85,5017289004501,5017289455013,25,5,0.49,3
SOFTESSE POCKET TISSUES 3 PLY                     ,219817,10'S      ,30,12.59,5027908008391,5027908008407,48,8,0.42,2
CHILL FACTOR ANTI FREEZE                          ,127804,1LTR      ,6,3.99,5011962600714,5011962170064,135,27,0.67,2
CHILL FACTOR DE-ICER                              ,132671,750ML     ,6,3.29,5011962600721,5011962270061,100,20,0.55,2
DISNEY LUNCH BOX ASST(R)                          ,6834,97244,24,13.92,5060380913180,5060206299337,48,12,0.58,1
DISNEY SPORTS BOTTLE ASST(R)                      ,6842,54005,24,13.2,5060206297494,5060432540050,84,14,0.55,1s
