Price,Code,Name,Marketing Description,OuterQ,Barcode,OuterB,Product Range,Brand Name,Length,Width,Height,Product Volume
3,0002.161    ,GOURMET 24CM ROUND PIE DISH                  ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 24cm Pie Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853179803,05010853885025,GOURMET KITCHEN COLL          ,RAYWARE                       ,240,240,48,0.0027648
2.48,0006.913    ,MILAN 16PC CUTLERY SET                       ,"Price and Kensington Milan Collection features a coordinated monochrome text design on all products. The 16 Piece Cutlery Set is made from Stainless Steel and contains 4 x knives, 4 x folks, 4 x table spoons and 4 x tea spoons.",12,5010853109589,05010853799186,MILAN                         ,RAYWARE                       ,152,50,235,0.001786
5.35,0007.800    ,RICHMOND 16PC CUTLERY SET                    ,"Richmond 16 piece stainless steel cutlery set is not only stylish and comfortable to use, but is also strong and durable. The Richmond 16 piece set is perfect for everyday use and contains 4 x knives, 4 x forks, 4 x dessert spoons and 4 x teaspoons.",6,5010853193922,05010853901619,CUTLERY ASSORTED,ARTHUR WOOD                   ,250,175,55,0.00240625
1.67,0014.124    ,INTO SPACE 3PC MELAMINE                      ,"The Children's Into Space 3 Piece Melamine set is made from 100% durable melamine. The set is easy to clean and contains 1 plate, 1 bowl and 1 mug.",6,5010853166902,05010853866451,MELAMINE 3PCE SETS ASSORT,RAYWARE                       ,270,245,90,0.0059535
1.67,0014.125    ,TEA PARTY 3PC MELAMINE SET                   ,"The Children's Tea Party 3 Piece Melamine Set is made from durable 100% melamine. The sets are easy to clean and contain 1 plate, 1 bowl and 1 mug.",6,5010853166919,05010853866468,MELAMINE 3PCE SETS ASSORT,RAYWARE                       ,270,245,90,0.0059535
2.64,0025.325    ,FORUM 1LITRE ROUND CASSEROLE DISH WITH LID   ,"Forum heat resistant glassware offers a unique combination of stylish modern design, durability and versatility. Oven to tableware can be used to cook, bake, serve refrigerate or freeze meals and is conventional oven and microwave oven safe.",6,5010853145952,05010853835723,FORUM                         ,RAVENHEAD                     ,189,157,94,0.002789262
3.77,0025.326    ,FORUM 2LITRE ROUND CASSEROLE DISH WITH LID   ,"Forum heat resistant glassware offers a unique combination of stylish modern design, durability and versatility. Oven to tableware can be used to cook, bake, serve refrigerate or freeze meals and is conventional oven and microwave oven safe.",6,5010853145969,05010853835730,FORUM                         ,RAVENHEAD                     ,250,218,111,0.0060495
4.39,0025.328    ,FORUM 3 LITRE ROUND CASSEROLE DISH WITH LID  ,"Forum heat resistant glassware offers a unique combination of stylish modern design, durability and versatility. Oven to tableware can be used to cook, bake, serve refrigerate or freeze meals and is conventional oven and microwave oven safe.",4,5010853145976,05010853835747,FORUM                         ,RAVENHEAD                     ,270,239,132,0.00851796
2.93,0025.332    ,FORUM 34X19CM RECTANGLE ROASTER              ,"Forum heat resistant glassware offers a unique combination of stylish modern design, durability and versatility. Oven to tableware can be used to cook, bake, serve refrigerate or freeze meals and is conventional oven and microwave oven safe.",4,5010853145983,05010853835754,FORUM                         ,RAVENHEAD                     ,333,190,51,0.00322677
4.78,0025.333    ,FORUM 40X25CM RECTANGLE ROASTER              ,"Forum heat resistant glassware offers a unique combination of stylish modern design, durability and versatility. Oven to tableware can be used to cook, bake, serve refrigerate or freeze meals and is conventional oven and microwave oven safe.",4,5010853145990,05010853835761,FORUM                         ,RAVENHEAD                     ,400,248,60,0.005952
2.53,0025.335    ,FORUM 30X21CM OVAL ROASTER                   ,"Forum heat resistant glassware offers a unique combination of stylish modern design, durability and versatility. Oven to tableware can be used to cook, bake, serve refrigerate or freeze meals and is conventional oven and microwave oven safe.",4,5010853146003,05010853835778,FORUM                         ,RAVENHEAD                     ,300,214,60,0.003852
2.48,0025.338    ,FORUM SQUARE 22CM ROASTER                    ,"Forum heat resistant glassware offers a unique combination of stylish modern design, durability and versatility. Oven to tableware can be used to cook, bake, serve refrigerate or freeze meals and is conventional oven and microwave oven safe.",6,5010853146034,05010853835792,FORUM                         ,RAVENHEAD                     ,250,220,60,0.0033
1.82,0025.342    ,FORUM 0.5LITRE JUG                           ,"Forum heat resistant glassware offers a unique combination of stylish modern design, durability and versatility. Oven to tableware can be used to cook, bake, serve refrigerate or freeze meals and is conventional oven and microwave oven safe.",6,5010853146027,05010853835808,FORUM                         ,RAVENHEAD                     ,150,114,119,0.0020349
2.48,0025.343    ,FORUM 1 LITRE JUG                            ,"Forum heat resistant glassware offers a unique combination of stylish modern design, durability and versatility. Oven to tableware can be used to cook, bake, serve refrigerate or freeze meals and is conventional oven and microwave oven safe.",6,5010853146041,05010853835815,FORUM                         ,RAVENHEAD                     ,176,124,153,0.003339072
1.69,0025.371    ,0.75L KILNER GLASS KNOBSTOPPER               ,,6,5010853136158,05010853830056,KILNER                        ,RAVENHEAD                     ,130,130,195,0.0033
0.45,0025.373    ,KILNER ROUND TWIST TOP JAR 43ML              ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 43ml Round Twist Top Jar, H 51mm x W 45mm. Made from high quality, 30% recycled glass.",12,5010853191454,05010853898049,TWIST TOP,KILNER,45,45,51,0.000103275
0.54,0025.374    ,KILNER ROUND TWIST TOP JAR 228ML             ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 228ml Round Twist Top Jar, H 86mm x W 68mm. Made from high quality, 30% recycled glass.",12,5010853191461,05010853898056,TWIST TOP,KILNER,68,68,86,0.000397664
0.73,0025.375    ,KILNER ROUND TWIST TOP BOTTLE 250ML          ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 250ml Round Twist Top Jar, H 198mm x W 63mm. Made from high quality, 30% recycled glass.",12,5010853191478,05010853898063,TWIST TOP,KILNER,63,63,198,0.000785862
0.51,0025.376    ,KILNER ROUND TWIST TOP JAR 93ML              ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 93ml Round Twist Top Jar, H 80mm x W 51mm. Made from high quality, 30% recycled glass.",12,5010853194554,05010853901411,TWIST TOP,KILNER,51,51,80,0.00020808
