Code,Description,Inner,Outer,Cost,Inner Price,Barcode,Vat,Case Weight,Case Width,Case Height,Case Depth,Inner Weight,Inner Width,Inner Height,Inner Depth
TY415,M.Y FLYING RINGS IN DISPLAY BOX,24,288,0.28,6.72,5033849029197,20.00,17.45,28,64,80,1.45,2.33,5.33,6.67
TY426,"DOUBLE LIGHT SWORD WITH SOUND & LIGHT ""TRY ME""-""ALIENZ""",24,24,2.98,71.52,5033849029302,20.00,12.1,47,93,31,12.1,47,93,31
TY474,ROLLED MAT GAME WITH DICE POPPER - 2 ASSORTED,6,24,2.85,17.1,5033849029784,20.00,10.65,89,60,46,2.66,22.25,15,11.5
TY476,MILITARY TRUCK IN WINDOW BOX,12,12,3.85,46.2,5033849029807,20.00,11.35,88,41,43,11.35,88,41,43
TY478,"3 TRAY MAKE UP SET IN OPEN TOUCH BOX ""ITS GIRL STUFF""",18,36,2.4,43.2,5033849029821,20.00,13.75,65,94,34,6.88,32.5,47,17
TY487,BLAZE STORM SEMI AUTOMATIC SPACE DART GUN IN COL BOX,6,6,8.75,52.5,5033849029913,20.00,9.35,50,59,46,9.35,50,59,46
TY495,DELUXE MAGIC TRICK SET WITH HAT IN COLOUR BOX,4,8,3.6,14.4,5033849029999,20.00,7.15,57,62,36,3.58,28.5,31,18
TY503,"DOUBLE BLADED MILITARY HELICOPTER PLAY SET ""TRY ME""",6,6,9.6,57.6,5033849038373,20.00,10.95,66,61,53,10.95,66,61,53
TY505,"MILITARY JET FIGHTER PLAY SET IN WBX ""COMBAT MISSION""",6,12,7.5,45,5033849038380,20.00,15.1,86,78,43,7.55,43,39,21.5
TY507,"6pc ARMY FIGURES SET IN HANGING WBX ""COMBAT MISSION""",18,36,3.5,63,5033849038403,20.00,9.75,60,83,42,4.88,30,41.5,21
TY514,SOFT BODY DOLL SET WITH ACCESORIES IN WINDOW BOX,4,4,8.98,35.92,5033849038670,20.00,6,61,46,52,6,61,46,52
TY522,DOCTOR STATION SET IN COLOUR BOX,12,12,5.5,66,5033849012397,20.00,17.05,86,60,47,17.05,86,60,47
TY536,"FREEWHEEL TRACTOR 2 ASSORTED COLOURS ""FARM SERIES""",12,24,2.2,26.4,5033849038854,20.00,10.2,45,57,65,5.1,22.5,28.5,32.5
TY540,PLASTIC TIPPER TRUCK WITH BLOCKS IN OPEN TOUCH BOX,12,12,5.85,70.2,5033849038885,20.00,15.45,89,82,38,15.45,89,82,38
TY543,KIDS RIDE ON BALANCE MOTORBIKE IN COLOUR BOX,2,2,16.5,33,5033849038915,20.00,8.25,69,51,48,8.25,69,51,48
TY563,LARGE FRICTION TANK & SOLDIERS 2 ASST COL COMBAT MISSIO,12,24,2.85,34.2,5033849077372,20.00,21,75,88,44,10.5,37.5,44,22
TY646,TOOL SET IN CARRY CASE OPEN TOUCH BOX CONSTRUCTION,12,24,3.75,45,5033849013714,20.00,21.15,59,52,62,10.58,29.5,26,31
TY704,"LARGE ARMY GUN SET IN OPEN TOUCH BOX ""COMBAT MISSION""",12,12,5,60,5033849015046,20.00,13.95,60,77,42,13.95,60,77,42
TY874,TWIN DART GUN CAN-BUSTER GAME IN WINBOX - STREET KIDZ,24,24,3.4,81.6,5033849016760,20.00,15.55,41,77,88,15.55,41,77,88
TY875,8pc BATH SET FOR BABY DOLL - BABY DOLL SERIES,12,24,1.98,23.76,5033849016777,20.00,7.7,80,64,25,3.85,40,32,12.5
TY877,DOCTORS SET IN ACETATE CARRY CASE IN PDQ - DOCTORS SERI,4,16,2.98,11.92,5033849016791,20.00,11.25,65,30,65,2.81,16.25,7.5,16.25
TY878,4pc VEHICLES IN WINDOW BOX - STREET MACHINES,18,36,2.85,51.3,5033849016807,20.00,19.75,38,81,91,9.88,19,40.5,45.5
TY910,"POP UP SOCCER GOAL SET IN ZIP BAG ""M.Y""",12,12,5.98,71.76,5033849017125,20.00,7,20,59,46,7,20,59,46
TY914,"99pc PRINCESS HORSE & CARRIAGE BRICKSET ""MY""",24,72,1.8,43.2,5033849017163,20.00,16.1,43,53,62,5.37,14.33,17.67,20.67
TY1143,M.Y EVA FOAM BASEBALL SET,36,72,1.5,54,5033849008420,20.00,14.05,39,80,71,7.03,19.5,40,35.5
TY1157,M.Y AIR PUMP WATER GUN IN PDQ,24,24,2.25,54,5033849073237,20.00,10.7,42,66,48,10.7,42,66,48
TY1213,BAMBOO FISHING NET LARGE SQUARE HEAD 32cm x 120cm,72,72,0.58,41.76,5033849008635,20.00,13.3,154,25,32,13.3,154,25,32
TY1310,"16cm/6.5"" PLASTIC SQUARE CASTLE BUCKET 6 ASST NEON COLS",48,48,0.55,26.4,5033849009113,20.00,6.9,36,34,47,6.9,36,34,47
TY1326,"5pc D/CAST MILITARY VEHICLES IN PVC TUBE/DBX ""COMBAT MI",25,50,1.65,41.25,5033849009274,20.00,11.15,60,47,32,5.58,30,23.5,16
TY1333,SPIKEY TEDDY WITH LIGHT IN DISPLAY BOX,12,288,0.45,5.4,5033849009342,20.00,19.01,52,53,34,0.79,2.17,2.21,1.42
TY1341,SPIKEY BOUNCE BALL WITH LIGHT & SQUEEKER (95mm) IN DBX,12,144,0.57,6.84,5033849009427,20.00,16,66,80,30,1.33,5.5,6.67,2.5
TY1346,JUMPING JACK BOUNCING BATON WITH LIGHT IN DISPLAY BOX,12,144,0.5,6,5033849009472,20.00,9.65,51,59,30,0.8,4.25,4.92,2.5
TY1362,INTEX PURE SPA FILTER CARTRIDGE TWIN PACK,6,6,1.98,11.88,78257290017,20.00,1.75,23,17,34,1.75,23,17,34
TY1447,TELESCOPIC EXTENDABLE NET IN DISPLAY BOX,15,60,0.85,12.75,5033849009991,20.00,6.1,62,42,39,1.53,15.5,10.5,9.75
TY1459,"WHEEL BARROW SET - ""GARDENING SERIES""",18,18,2.98,53.64,5033849014599,20.00,11.2,48,62,100,11.2,48,62,100
TY1540,WATERPROOF FISHERMANS SHELTER (220x115x115cm) OUT THERE,10,10,5,50,5033849010966,20.00,10.05,60,23,26,10.05,60,23,26
TY1653,PIRATE PLAYSET GOODY BAG,18,72,1.5,27,5033849011857,20.00,13.6,39,70,56,3.4,9.75,17.5,14
TY1714,LED LIGHT UP NOVELTY GLOVES POLYBAG / HEADERCARD,25,100,2.85,71.25,5033849035426,20.00,11.45,65,27,40,2.86,16.25,6.75,10
TY1834,"32 PANEL 280g STITCHED ""PREMIER"" SHINY FOOTBALL (D)",60,60,1.39,83.4,5033849018344,20.00,18.45,39,39,60,18.45,39,39,60
TY1964,"TRACTOR BEACH PLAYSET (NETTED) - ""NALU""",24,24,1.8,43.2,5033849019648,20.00,8.7,53,48,60,8.7,53,48,60
TY1982,GARDENING SET IN CARRY CASE,24,24,2.85,68.4,5033849019822,20.00,13.45,47,62,86,13.45,47,62,86
TY1987,"SAND & WATER TABLE IN COLOUR BOX ""SUMMER FUN""",12,12,5,60,5033849019877,20.00,13.3,87,58,34,13.3,87,58,34
TY2003,"9"" ANGLED METAL PEG IN PVC BAG (10 PEGS PER BAG)",30,60,0.9,27,5033849076870,20.00,17.25,36,20,27,8.63,18,10,13.5
TY2010,BIG ANIMAL RINGS - 3 ASST NEW STYLES FROG/LION/DRAGON,36,36,1.12,40.32,78257582211,20.00,11.4,35,40,27,11.4,35,40,27
TY2013,POOL CRUISERS 3 ASSORTED DESIGNS NEW GRAPHICS 2014,24,24,1.75,42,78257593804,20.00,11.4,27,26,54,11.4,27,26,54
TY2034,"65cm (25"") MIGHTY SWORD (PLASTIC)",36,144,0.45,16.2,5033849032067,20.00,13.75,30,75,66,3.44,7.5,18.75,16.5
TY2051,"DINOLAND PLAY CENTRE 131"" x 90"" x 44""",2,2,27,54,78257571352,20.00,16.55,33,43,53,16.55,33,43,53
TY2052,FUN GOGGLES AGES 3-8 ASSORTED,12,12,0.75,9,78257556638,20.00,1.15,26,22,19,1.15,26,22,19
TY2053,INFLATABLE SWORD & SHIELD PLAY SET,24,24,0.85,20.4,78257446001,20.00,4.5,35,21,48,4.5,35,21,48
TY2060,55mm dia NEOPRENE SKIM BALL IN COLOUR BOX / DISP BOX,12,72,0.98,11.76,5033849032326,20.00,7.45,20,26,42,1.24,3.33,4.33,7
TY2071,HOBBY HORSE & UNICORN WITH SOUND 4 ASSORTED COL D/BOX,12,12,2.98,35.76,5033849032432,20.00,5.05,58,74,30,5.05,58,74,30
TY2077,"8' x 26"" QUICK SET RING POOL",1,1,14.75,14.75,5033849032494,20.00,5.15,35,19,28,5.15,35,19,28
TY2103,BUBBLE ROCKET IN COLOUR BOX,12,12,2.4,28.8,5033849032753,20.00,8.85,30,50,80,8.85,30,50,80
TY2119,8' QUICK SET POOL RING COVER,6,6,2.4,14.4,5033849032913,20.00,6.7,30,28,33,6.7,30,28,33
TY2141,"SOLID COLOUR MAT - 72"" x 27"" - 4 ASSORTED COLOURS",12,12,1.65,19.8,5033849409869,20.00,7.45,27,24,27,7.45,27,24,27
TY2175,SAND & WATER MILL SET,24,24,1.8,43.2,5033849033477,20.00,8.5,43,50,91,8.5,43,50,91
TY2205,"EVA KNIGHT SWORD & SHIELD SET ON TIE CARD ""KNIGHT SERIE",24,24,2.15,51.6,5033849033774,20.00,5.65,31,81,59,5.65,31,81,59
TY2208,WIGWAM PLAY TENT (100 x 100 x 135cm) IN COLOUR BOX,10,10,5.85,58.5,5033849033804,20.00,9.4,57,52,23,9.4,57,52,23
TY2210,CHILDRENS PLAY HOUSE TENT (75x95x104cm) IN COLOUR BOX,10,10,5.5,55,5033849033828,20.00,9.35,57,49,22,9.35,57,49,22
TY2301,BUBBLE STICK IN DISPLAY BOX,24,96,0.42,10.08,5033849036874,20.00,18.55,31,40,44,4.64,7.75,10,11
TY2309,"AUTO BUBBLE MOWER & BUBBLES IN COLOUR BOX ""BUBBLES""",6,6,4.4,26.4,5033849036959,20.00,7.25,41,37,51,7.25,41,37,51
TY2404,STERLING PLAY MONEY SET ON BLISTERCARD,24,144,0.57,13.68,5033849037925,20.00,16.8,29,112,56,2.8,4.83,18.67,9.33
TY2420,"8"" FOOTBALL - 90gm DEFLATED",12,144,0.39,4.68,5033849038083,20.00,13.5,26,32,48,1.13,2.17,2.67,4
TY2508,"55"" PVC SNAKE IN DISPLAY BOX ""GROSSEST""",6,108,1.1,6.6,5033849039639,20.00,27.2,53,27,57,1.51,2.94,1.5,3.17
TY2509,"6.5"" TPR SPIDER WITH BEANS 2 ASST STYLES / 2 ASST COLS",12,144,0.8,9.6,5033849039646,20.00,10.8,46,29,55,0.9,3.83,2.42,4.58
TY2525,"400pc WATER BOMBS WITH FILLER ""STREET KIDZ""",100,100,0.5,50,5033849039806,20.00,11.1,45,30,31,11.1,45,30,31
TY2715,120cm x 60cm STUNT KITE IN DISPLAY BOX (2 ASST),24,24,2.68,64.32,5033849030742,20.00,7.3,34,25,90,7.3,34,25,90
TY2904,"PET INSECT CAGE ""IN THE GARDEN""",24,24,1.1,26.4,5033849034344,20.00,3.45,38,44,33,3.45,38,44,33
TY2950,"3"" CAT MONEY BOX IN DISPLAY BOX",12,96,0.41,4.92,5033849034801,20.00,14,32,29,57,1.75,4,3.63,7.13
TY3015,WOODEN PUSH ALONG TOY ON STAND,48,48,2.68,128.6,5033849021078,20.00,15.25,27,64,60,15.25,27,64,60
TY3114,BAMBOO FISHING NET 110cm x 20cm NEON NET 5 ASSORTED,100,100,0.26,26,5033849022068,20.00,10,131,24,24,10,131,24,24
TY3171,"287pc ARMY HELICOPTER BRICKSET ""M.Y""",12,24,4.5,54,5033849022617,20.00,17.94,54,73,39,8.97,27,36.5,19.5
TY3172,"ARMY JET FIGHTER BRICKSET ""M.Y""",18,36,2.5,45,5033849022624,20.00,16.95,68,71,34,8.48,34,35.5,17
TY3191,50+3 MARBLES IN NET BAG IN DISPLAY BOX,12,48,0.33,3.96,5033849022815,20.00,17.6,38,20,30,4.4,9.5,5,7.5
TY3376,100g 6 COLOUR MODELLING CLAY IN DISPLAY BOX,16,192,0.22,3.52,5033849075439,20.00,24.4,30,29,39,2.03,2.5,2.42,3.25
TY3387,7 HEAD HOLOGRPAHIC FOIL WINDMILL,24,96,0.5,12,5033849075545,20.00,4.5,51,43,52,1.13,12.75,10.75,13
