#,Code,Description,Inner,UPC,Barcode,Cases,Units,Price,NettValue
36,TDV/1,Stat-Tape       Dispenser,12,24,5012128052880,2,48,0.62,29.76
37,STT/2,Stat-Staples 26/6 X 5000,20,40,5012128579004,1,40,0.3,12
38,STTT/2,Stat-Stapler In Pp Box In Black,24,48,5012128385001,1,48,0.98,47.04
39,CFCF/2,Stat Correction Set,24,48,5012128359965,1,48,0.5,24
40,PII/3,Craft-18pcs Jumbo Pipe Cleaners,12,36,5012128109454,1,36,0.5,18
41,HOI,Craft-Activity Craft Fun Pack,12,48,5012128099298,1,48,0.5,24
42,GLVV,Craft-250ml White Kraft Glue,12,24,5012128388651,2,48,0.49,23.52
43,ESQ/2,Craft-9 Piece Glitter Glue,12,48,5012128088780,1,48,0.5,24
44,POMR,Craft - Pk Assorted Rainbow Pom Poms,18,36,5012128384004,1,36,0.5,18
45,POMG,Craft - Mix Pk Gitter Pom Poms,18,36,5012128384035,4,144,0.5,72
46,FEAT,Craft-Mixed Pack Of Feathers,18,36,5012128383960,2,72,0.5,36
47,PCLN,Craft- 50 Pipe Cleaners Assorted,18,36,5012128383991,1,36,0.5,18
48,ACTP/4,Craft-Assorted Craft Pack,24,48,5012128225741,1,48,0.5,24
49,BKC/1,Colouring - 15 Jumbo Chalks,,12,5012128432132,1,12,0.5,6
50,BKC/2,Colouring - 15 Jumbo Chalks,,12,5012128432132,2,24,0.5,12
51,PDIA,Craft-30 Diagnal Stripe Pipe Cleaner,18,36,5012128393105,1,36,0.5,18
52,PBZ,Paint - 4 Chunky Paint Brushes,12,48,5012128516269,1,48,0.5,24
53,PCAY,Paint - Alphabet Sponges,,24,5012128269523,1,24,0.5,12
54,SMK,Paint - Play Apron,12,36,5012128539312,1,36,0.57,20.52
55,PMBE,"Paint-Pyo Money Box,Bear,Snail,Bee",,24,5012128390357,1,24,0.95,22.8
56,PBOY,Paint-Make Your Own Figurines (Boys),,24,5012128344503,1,24,0.53,12.72
57,PMOL,Paint-Make Your Own Figurines(Girls),,24,5012128343025,1,24,0.53,12.72
58,CDT/3,Clay & Dough - 10 Clrd Dough Stick,12,36,5012128423406,1,36,0.5,18
59,SPEN/1,Colouring - 5 Stamper Pens,12,36,5012128344268,1,36,0.52,18.72
60,PWI/6,"Act- Pastel Card, A4 12 Sheets",,24,5012128096266,2,48,0.5,24
61,PVR/2,"Act- Black Card, A4, 20 Sheets",,36,5012128109416,1,36,0.52,18.72
62,PVO/3,Act Gold&Silver Mirror Card A4 12sh,6,30,5012128109393,1,30,0.5,15
